combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,rare_bonus,arima_score
"[7, 20, 21, 22, 24, 32]",9.933982955169235,0.5,lstm,126,4,25,2,"{0: 1, 1: 1, 2: 3, 3: 1}",1,0.7,0.87,0.0,0.064,1.7244502294588415
"[11, 19, 20, 21, 22, 23]",6.970884760893384,0.5,lstm,116,2,12,1,"{1: 3, 2: 3}",3,0.650952380952381,0.75,0.0,0.032,1.7244502294588415
"[19, 20, 21, 22, 23, 28]",5.713185726874735,0.5,lstm,133,3,9,1,"{1: 2, 2: 4}",2,0.6642857142857143,0.7400000000000001,0.0,0.064,1.7244502294588415
"[5, 6, 20, 21, 22, 34]",9.907541384984198,0.5,lstm,108,4,29,1,"{0: 2, 1: 1, 2: 2, 3: 1}",1,0.6616666666666666,0.87,0.0,0.064,1.7244502294588415
"[20, 21, 22, 23, 34, 37]",6.848366677924212,0.5,lstm,157,3,17,1,"{1: 1, 2: 3, 3: 2}",2,0.64,0.75,0.0,0.032,1.7244502294588415
"[6, 19, 21, 22, 31, 37]",10.39383634969159,0.5,lstm,136,2,31,2,"{0: 1, 1: 1, 2: 2, 3: 2}",3,0.6933333333333334,0.87,0.0,0.0,1.7244502294588415
"[20, 21, 22, 33, 35, 38]",6.365520613675738,0.5,lstm,169,3,18,2,"{1: 1, 2: 2, 3: 3}",0,0.6933333333333334,0.61,0.0,0.064,1.7244502294588415
"[8, 21, 22, 30, 31, 34]",9.877650914340245,0.5,lstm,146,4,26,2,"{0: 1, 2: 3, 3: 2}",1,0.6983333333333333,0.87,0.0,0.032,1.7244502294588415
"[8, 13, 21, 22, 33, 34]",9.871902746908715,0.5,lstm,131,3,26,2,"{0: 1, 1: 1, 2: 2, 3: 2}",1,0.69,0.87,0.0,0.032,1.7244502294588415
"[11, 16, 20, 21, 22, 31]",8.42221492067698,0.5,lstm,121,3,20,2,"{1: 3, 2: 2, 3: 1}",2,0.6716666666666666,0.83,0.0,0.032,1.7244502294588415
"[4, 17, 21, 22, 35, 37]",10.111026512060342,0.5,lstm,136,2,33,1,"{0: 1, 1: 1, 2: 2, 3: 2}",2,0.7,0.87,0.0,0.0,1.7244502294588415
"[5, 15, 20, 21, 22, 37]",10.196099390046976,0.5,lstm,120,2,32,1,"{0: 1, 1: 2, 2: 2, 3: 1}",2,0.6633333333333333,0.87,0.0,0.064,1.7244502294588415
"[3, 4, 8, 11, 21, 22]",7.26913253391217,0.5,lstm,69,3,19,1,"{0: 3, 1: 1, 2: 2}",2,0.705,0.73,0.0,0.0,1.7244502294588415
"[8, 9, 17, 21, 22, 40]",9.947778557004904,0.5,lstm,117,3,32,1,"{0: 2, 1: 1, 2: 2, 3: 1}",1,0.72,0.83,0.0,0.064,1.7244502294588415
"[2, 13, 18, 21, 22, 37]",10.398434883636815,0.5,lstm,113,3,35,2,"{0: 1, 1: 2, 2: 2, 3: 1}",3,0.7000000000000001,0.87,0.0,0.0,1.7244502294588415
"[18, 21, 22, 24, 25, 40]",8.634897115643573,0.5,lstm,150,4,22,2,"{1: 1, 2: 4, 3: 1}",0,0.7333333333333333,0.7899999999999999,0.0,0.064,1.7244502294588415
"[16, 21, 22, 24, 27, 35]",6.790885003608917,0.5,lstm,145,3,19,2,"{1: 1, 2: 4, 3: 1}",0,0.72,0.87,0.0,0.0,1.7244502294588415
"[2, 15, 19, 21, 22, 28]",10.174256353807165,0.5,lstm,107,3,26,2,"{0: 1, 1: 2, 2: 3}",2,0.7116666666666667,0.87,0.0,0.032,1.7244502294588415
"[2, 3, 11, 17, 21, 22]",6.694315790759223,0.5,lstm,76,2,20,2,"{0: 2, 1: 2, 2: 2}",4,0.705,0.73,0.0,0.0,1.7244502294588415
"[5, 13, 21, 22, 27, 34]",10.163909652430412,0.5,lstm,122,2,29,1,"{0: 1, 1: 1, 2: 3, 3: 1}",2,0.6966666666666667,0.87,0.0,0.032,1.7244502294588415
