combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[7, 13, 19, 21, 22, 40]",5.076666666666667,0.5,lstm,122,2,33,3,"{0: 1, 1: 2, 2: 2, 3: 1}",3,0.5666666666666667,1.05,0.0,1.0
"[1, 20, 21, 22, 23, 40]",3.683333333333333,0.5,lstm,127,3,39,3,"{0: 1, 1: 1, 2: 3, 3: 1}",1,0.41666666666666674,1.1,0.0,1.0
"[15, 20, 22, 23, 24, 40]",4.675238095238096,0.5,lstm,144,4,25,3,"{1: 2, 2: 3, 3: 1}",1,0.39642857142857146,1.05,0.0,1.0
"[20, 22, 23, 24, 32, 40]",2.775238095238095,0.5,lstm,161,5,20,3,"{1: 1, 2: 3, 3: 2}",1,0.39642857142857146,0.85,0.0,1.0
