combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[10, 14, 22, 27, 35, 40]",7.280414120193532,0.6223039215686275,clustering,148,4,30,0,"{0: 1, 1: 1, 2: 2, 3: 2}",0,0.8917748917748918,1.1,0.0,1.0
"[20, 21, 23, 24, 32, 40]",4.982121530430355,0.5570098039215686,clustering,160,4,20,0,"{1: 1, 2: 3, 3: 2}",1,0.8429844665138784,0.9500000000000001,0.0,1.0
"[2, 16, 17, 20, 23, 40]",5.864327922077922,0.6122058823529412,genetico,118,4,38,0,"{0: 1, 1: 3, 2: 1, 3: 1}",3,0.8492742551566081,1.05,0.0,1.0
"[2, 5, 8, 17, 20, 40]",5.07459084542908,0.5770098039215686,genetico,92,4,38,0,"{0: 3, 1: 2, 3: 1}",3,0.8619302266361091,0.9,0.0,1.0
"[13, 14, 24, 32, 36, 39]",5.62517594509804,0.5414361568627452,montecarlo,158,4,26,0,"{1: 2, 2: 1, 3: 3}",1,0.9304812834224598,0.9500000000000001,0.0,1.0
"[2, 11, 13, 18, 37, 38]",6.440848914285715,0.5936420392156864,montecarlo,119,3,36,0,"{0: 1, 1: 3, 3: 2}",4,0.9153552330022918,1.05,0.0,1.0
"[10, 12, 14, 17, 28, 36]",5.814856124267889,0.5843137254901961,transformer_fallback,117,5,26,0,"{0: 1, 1: 3, 2: 1, 3: 1}",1,0.9322383498854088,0.95,0.0,1.0
"[12, 23, 25, 38, 39, 40]",5.166702769544182,0.6434698039215687,transformer_fallback,177,3,28,0,"{1: 1, 2: 2, 3: 3}",1,0.8924879042526102,0.9500000000000001,0.0,1.0
"[9, 18, 20, 21, 22, 40]",5.5714338553603255,0.45357843137254905,lstm,130,4,31,0,"{0: 1, 1: 2, 2: 2, 3: 1}",0,0.8384008148714032,1.05,0.0,1.0
"[19, 20, 22, 23, 33, 40]",4.035752992105934,0.5533333333333333,lstm,157,3,21,0,"{1: 2, 2: 2, 3: 2}",2,0.8410491469314999,0.9,0.0,1.0
"[2, 8, 18, 19, 20, 40]",6.080640128778783,0.3920588235294118,lstm_v2,107,5,38,0,"{0: 2, 1: 3, 3: 1}",2,0.8427116301065881,0.95,0.0,1.0
"[9, 15, 16, 20, 21, 40]",6.956672268907562,0.5425490196078432,lstm_v2,121,3,31,0,"{0: 1, 1: 3, 2: 1, 3: 1}",0,0.8378151260504202,1.05,0.0,1.0
"[6, 7, 20, 21, 37, 40]",7.601667812579576,0.4881372549019608,lstm_v2,131,3,34,0,"{0: 2, 1: 1, 2: 1, 3: 2}",2,0.8271199388846449,1.1,0.0,1.0
"[2, 3, 20, 21, 30, 40]",6.328966959511076,0.40308823529411764,lstm_v2,116,4,38,0,"{0: 2, 1: 1, 2: 2, 3: 1}",2,0.8327476445123504,1.1,0.0,1.0
"[6, 14, 20, 21, 22, 40]",6.902913037942449,0.3783333333333333,lstm_v2,123,5,34,0,"{0: 1, 1: 2, 2: 2, 3: 1}",0,0.8288260758848994,1.0,0.0,1.0
"[15, 19, 20, 21, 36, 40]",6.295827476445124,0.5793137254901961,lstm_v2,151,3,25,0,"{1: 3, 2: 1, 3: 2}",1,0.8274000509294628,0.9,0.0,1.0
"[2, 13, 20, 21, 38, 40]",6.357826521517698,0.4984803921568628,lstm_v2,134,4,38,0,"{0: 1, 1: 2, 2: 1, 3: 2}",2,0.8332314744079451,1.1,0.0,1.0
"[15, 20, 21, 29, 37, 40]",6.4938336516424755,0.5327941176470589,lstm_v2,162,2,25,0,"{1: 2, 2: 2, 3: 2}",2,0.8346574993633817,0.9,0.0,1.0
"[1, 18, 20, 21, 31, 40]",5.923814234784823,0.5614705882352942,lstm_v2,131,3,39,0,"{0: 1, 1: 2, 2: 1, 3: 2}",1,0.844079449961803,1.05,0.0,1.0
"[11, 19, 20, 21, 31, 40]",7.561575184619302,0.5016176470588235,lstm_v2,142,2,29,0,"{1: 3, 2: 1, 3: 2}",3,0.8221797810033105,1.05,0.0,1.0
"[18, 19, 20, 21, 25, 40]",7.1534580559496534,0.5295098039215687,lstm_v2,143,3,22,0,"{1: 3, 2: 2, 3: 1}",1,0.8225435628796973,1.05,0.0,1.0
"[10, 14, 19, 20, 21, 40]",7.1372722816399286,0.4795588235294118,lstm_v2,124,4,30,0,"{0: 1, 1: 3, 2: 1, 3: 1}",1,0.8201426024955437,1.05,0.0,1.0
"[6, 19, 20, 21, 28, 40]",7.13136892029539,0.45848039215686276,lstm_v2,134,4,34,0,"{0: 1, 1: 2, 2: 2, 3: 1}",1,0.8209829386299975,1.05,0.0,1.0
"[7, 19, 20, 21, 26, 40]",7.353965186074428,0.523921568627451,lstm_v2,133,3,33,0,"{0: 1, 1: 2, 2: 2, 3: 1}",2,0.8102440976390557,1.05,0.0,1.0
"[17, 19, 20, 21, 26, 40]",7.370544636036232,0.5695098039215686,lstm_v2,143,3,23,0,"{1: 3, 2: 2, 3: 1}",2,0.8160500563861909,1.05,0.0,1.0
"[3, 19, 20, 21, 33, 40]",7.339851858925387,0.4609313725490196,lstm_v2,136,2,37,0,"{0: 1, 1: 2, 2: 1, 3: 2}",2,0.8198115609880317,1.05,0.0,1.0
"[8, 19, 20, 21, 38, 40]",7.385042207792208,0.47318627450980394,lstm_v2,146,4,32,0,"{0: 1, 1: 2, 2: 1, 3: 2}",1,0.8195059842118666,1.05,0.0,1.0
"[19, 20, 21, 22, 39, 40]",5.010792971734148,0.47823529411764704,lstm_v2,161,3,21,0,"{1: 2, 2: 2, 3: 2}",1,0.8179781003310416,0.8,0.0,1.0
"[3, 7, 15, 24, 30, 39]",6.530963059943978,0.4990832156862745,montecarlo,118,2,36,0,"{0: 2, 1: 1, 2: 2, 3: 1}",2,0.9194805194805195,1.05,0.0,1.0
"[6, 10, 16, 20, 24, 40]",5.337477065546218,0.3966322352941176,montecarlo,116,6,34,0,"{0: 2, 1: 2, 2: 1, 3: 1}",0,0.8601986249045073,0.95,0.0,1.0
"[1, 3, 13, 18, 20, 21]",4.667308998319329,0.47427929411764713,montecarlo,76,2,20,0,"{0: 2, 1: 3, 2: 1}",2,0.8826330532212885,0.9,0.0,1.0
"[2, 14, 16, 18, 28, 33]",6.344025384873949,0.49050478431372546,montecarlo,111,5,31,0,"{0: 1, 1: 3, 2: 1, 3: 1}",1,0.9171377641965877,0.95,0.0,1.0
"[7, 8, 10, 12, 19, 30]",5.522851015126051,0.4532008627450981,montecarlo,86,4,23,0,"{0: 3, 1: 2, 2: 1}",2,0.9096002037178508,0.85,0.0,1.0
"[4, 5, 8, 17, 26, 29]",5.971813900280113,0.4902106666666667,montecarlo,89,3,25,0,"{0: 3, 1: 1, 2: 2}",3,0.9198879551820728,0.9,0.0,1.0
"[2, 8, 18, 24, 26, 31]",6.507676645378151,0.42138713725490196,montecarlo,109,5,29,0,"{0: 2, 1: 1, 2: 2, 3: 1}",2,0.9195314489432136,0.95,0.0,1.0
"[13, 28, 31, 36, 38, 40]",5.1459238442577035,0.5824165490196079,montecarlo,186,4,27,0,"{1: 1, 2: 1, 3: 4}",2,0.8966641201935319,0.9,0.0,1.0
"[10, 19, 24, 27, 30, 37]",6.557860118767506,0.6012890980392157,montecarlo,147,3,27,0,"{0: 1, 1: 1, 2: 3, 3: 1}",2,0.9109243697478991,1.05,0.0,1.0
"[2, 6, 18, 29, 32, 36]",6.513428746218487,0.43854400000000004,montecarlo,123,5,34,0,"{0: 2, 1: 1, 2: 1, 3: 2}",2,0.9209065444359562,0.95,0.0,1.0
"[6, 9, 10, 31, 32, 38]",5.219237569747899,0.39555380392156864,montecarlo,126,4,32,0,"{0: 3, 3: 3}",1,0.9255411255411256,1.1,0.0,1.0
"[10, 11, 20, 25, 37, 38]",6.78623126722689,0.5472694901960784,montecarlo,141,3,28,0,"{0: 1, 1: 2, 2: 1, 3: 2}",2,0.8985994397759104,1.1,0.0,1.0
"[6, 9, 11, 24, 27, 32]",6.369407737815126,0.5547204705882353,montecarlo,109,3,26,0,"{0: 2, 1: 1, 2: 2, 3: 1}",1,0.9310415075120958,1.1,0.0,1.0
"[13, 14, 22, 34, 38, 40]",5.585147233613447,0.4784459607843138,montecarlo,161,5,27,0,"{1: 2, 2: 1, 3: 3}",1,0.882454800101859,0.85,0.0,1.0
"[5, 16, 29, 33, 34, 35]",5.529888830252101,0.46074988235294123,montecarlo,152,2,30,0,"{0: 1, 1: 1, 2: 1, 3: 3}",2,0.9204481792717086,0.9,0.0,1.0
"[14, 18, 23, 29, 32, 35]",4.483431547338936,0.6395243921568627,montecarlo,151,3,21,0,"{1: 2, 2: 2, 3: 2}",2,0.920244461420932,0.9,0.0,1.0
"[7, 8, 17, 30, 31, 32]",6.701385328851541,0.4543283137254902,montecarlo,125,3,25,0,"{0: 2, 1: 1, 2: 1, 3: 2}",3,0.9206518971224853,1.05,0.0,1.0
"[3, 8, 16, 18, 25, 30]",6.3512361691876755,0.5103577254901961,montecarlo,100,4,27,0,"{0: 2, 1: 2, 2: 2}",1,0.9199898141074612,1.05,0.0,1.0
"[5, 12, 23, 31, 36, 38]",7.620446906035141,0.6852941176470588,apriori,145,3,33,0,"{0: 1, 1: 1, 2: 1, 3: 3}",3,0.9267888973771327,1.1,0.0,1.0
"[12, 13, 21, 25, 27, 28]",3.79494825210084,0.5122364705882353,apriori,126,2,16,0,"{1: 2, 2: 4}",1,0.919327731092437,0.8500000000000001,0.0,1.0
"[14, 20, 21, 27, 37, 38]",6.105006875477463,0.6533333333333333,apriori,157,3,24,0,"{1: 2, 2: 2, 3: 2}",1,0.8729309905780493,0.9500000000000001,0.0,1.0
"[4, 7, 16, 31, 33, 37]",7.335983002291826,0.5977941176470589,apriori,128,2,33,0,"{0: 2, 1: 1, 3: 3}",3,0.909676597911892,1.05,0.0,1.0
"[5, 11, 21, 22, 26, 38]",7.1367299465240635,0.6183333333333334,apriori,123,3,33,0,"{0: 1, 1: 1, 2: 3, 3: 1}",2,0.8983957219251337,1.1,0.0,1.0
"[9, 15, 30, 37, 38, 39]",6.100856951871658,0.566813725490196,apriori,168,2,30,0,"{0: 1, 1: 1, 2: 1, 3: 3}",1,0.9183600713012477,0.9,0.0,1.0
"[3, 4, 17, 19, 22, 28]",6.511579831932774,0.6149019607843138,apriori,93,3,25,0,"{0: 2, 1: 2, 2: 2}",3,0.9106442577030812,0.9,0.0,1.0
"[2, 7, 15, 26, 35, 37]",7.3338626814362105,0.5904411764705882,apriori,122,2,35,0,"{0: 2, 1: 1, 2: 1, 3: 2}",3,0.9098548510313216,1.05,0.0,1.0
"[6, 7, 11, 21, 22, 40]",7.0992295645530925,0.5587254901960784,apriori,107,3,34,0,"{0: 2, 1: 1, 2: 2, 3: 1}",2,0.8575248281130634,1.1,0.0,1.0
"[4, 21, 24, 30, 38, 40]",5.867350783804431,0.5322133333333333,apriori,157,5,36,0,"{0: 1, 2: 3, 3: 2}",0,0.8701807995925643,0.85,0.0,1.0
"[5, 7, 9, 34, 35, 39]",5.900958915202444,0.4576196078431373,apriori,129,1,34,0,"{0: 3, 3: 3}",2,0.9243188184364655,0.9,0.0,1.0
"[6, 15, 16, 29, 30, 39]",6.946157754010695,0.6263725490196078,apriori,135,3,33,0,"{0: 1, 1: 2, 2: 2, 3: 1}",1,0.9130124777183601,1.05,0.0,1.0
"[7, 12, 17, 20, 22, 34]",7.143707983193276,0.6448529411764706,apriori,112,4,27,0,"{0: 1, 1: 3, 2: 1, 3: 1}",2,0.8963585434173669,1.05,0.0,1.0
"[3, 11, 20, 26, 32, 34]",7.1404929335370495,0.6286764705882353,apriori,126,4,31,0,"{0: 1, 1: 2, 2: 1, 3: 2}",2,0.8997708174178762,1.1,0.0,1.0
"[14, 19, 22, 26, 33, 34]",5.734762030557678,0.6108772549019609,apriori,148,4,20,0,"{1: 2, 2: 2, 3: 2}",1,0.8989559460147696,1.05,0.0,1.0
"[6, 16, 19, 34, 37, 40]",6.303122803666922,0.6605392156862746,apriori,152,4,34,0,"{0: 1, 1: 2, 3: 3}",2,0.8645021645021644,0.9,0.0,1.0
"[1, 11, 16, 30, 36, 37]",7.409938502673796,0.6614705882352941,apriori,131,3,36,0,"{0: 1, 1: 2, 2: 1, 3: 2}",2,0.9197860962566845,1.05,0.0,1.0
"[7, 11, 18, 29, 30, 37]",6.735759167303284,0.5960294117647059,apriori,132,2,30,0,"{0: 1, 1: 2, 2: 2, 3: 1}",4,0.9103132161955692,1.05,0.0,1.0
"[4, 10, 21, 24, 28, 37]",6.924280175706646,0.5595588235294118,transformer_deep,124,4,33,0,"{0: 2, 2: 3, 3: 1}",1,0.9091927680162974,1.1,0.0,1.0
"[6, 14, 15, 24, 28, 38]",6.718954927425515,0.5207843137254902,transformer_deep,125,5,32,0,"{0: 1, 1: 2, 2: 2, 3: 1}",0,0.922332569391393,0.95,0.0,1.0
"[1, 2, 21, 30, 33, 35]",7.160444805194805,0.517107843137255,transformer_deep,122,2,34,0,"{0: 2, 2: 2, 3: 2}",1,0.9069009421950598,1.1,0.0,1.0
"[2, 8, 9, 13, 21, 26]",6.041751336898395,0.5644117647058824,transformer_deep,79,3,24,0,"{0: 3, 1: 1, 2: 2}",2,0.9008912655971479,0.9500000000000001,0.0,1.0
"[1, 6, 8, 16, 37, 38]",7.167593773873186,0.5308333333333334,transformer_deep,106,4,37,0,"{0: 3, 1: 1, 3: 2}",1,0.9132161955691367,1.05,0.0,1.0
"[9, 20, 31, 35, 37, 39]",5.576131343009932,0.5774635294117647,transformer_deep,171,1,30,0,"{0: 1, 1: 1, 3: 4}",2,0.9018589253883371,0.85,0.0,1.0
