combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[2, 13, 20, 21, 22, 29]",7.031766514372738,0.5920588235294117,genetico,107,3,27,0,"{np.int64(0): 1, np.int64(1): 2, np.int64(2): 3}",3,0.9003236245954692,1.1,0.0,1.0
"[1, 15, 19, 20, 22, 28]",6.6682092137826,0.6629411764705883,genetico,105,3,27,0,"{np.int64(0): 1, np.int64(1): 3, np.int64(2): 2}",1,0.8970873786407767,1.05,0.0,1.0
"[7, 17, 19, 21, 27, 28]",5.583652482314868,0.4269753725490196,montecarlo,119,1,21,0,"{np.int64(0): 1, np.int64(1): 2, np.int64(2): 3}",3,0.8989997057958223,0.95,0.0,1.0
"[8, 17, 20, 23, 25, 28]",5.454569006205977,0.6027596862745098,montecarlo,121,3,20,0,"{np.int64(0): 1, np.int64(1): 2, np.int64(2): 3}",2,0.9024418946749044,1.05,0.0,1.0
"[6, 10, 13, 21, 31, 35]",5.969424852465258,0.5830882352941177,transformer_fallback,116,2,29,0,"{np.int64(0): 2, np.int64(1): 1, np.int64(2): 1, np.int64(3): 2}",2,0.9029126213592233,1.1,0.0,1.0
"[11, 16, 23, 30, 32, 40]",5.0905224301957315,0.6581992156862746,transformer_fallback,152,4,29,0,"{np.int64(1): 2, np.int64(2): 2, np.int64(3): 2}",2,0.8993233303912915,0.9,0.0,1.0
"[7, 12, 14, 23, 31, 39]",7.911783935586591,0.5346764705882353,clustering,126,2,32,0,"{np.int64(0): 1, np.int64(1): 2, np.int64(2): 1, np.int64(3): 2}",3,0.906501912327155,1.1,0.0,1.0
"[4, 15, 17, 22, 29, 31]",7.911152850319298,0.5248725490196079,clustering,118,2,27,0,"{np.int64(0): 1, np.int64(1): 2, np.int64(2): 2, np.int64(3): 1}",3,0.9109443954104148,1.05,0.0,1.0
"[5, 12, 18, 20, 24, 30]",5.767069454436673,0.4745098039215686,lstm,109,5,25,0,"{np.int64(0): 1, np.int64(1): 3, np.int64(2): 2}",1,0.8951246164838398,0.95,0.0,1.0
"[6, 12, 18, 20, 24, 30]",4.879138021934281,0.4090686274509804,lstm,110,6,24,0,"{np.int64(0): 1, np.int64(1): 3, np.int64(2): 2}",0,0.8910435842474678,0.95,0.0,1.0
"[6, 12, 18, 20, 24, 29]",7.173483946093883,0.4745098039215686,lstm_v2,109,5,23,0,"{np.int64(0): 1, np.int64(1): 3, np.int64(2): 2}",1,0.8955953431681587,0.95,0.0,1.0
"[3, 7, 15, 24, 30, 39]",6.526702310984199,0.4990832156862745,montecarlo,118,2,36,0,"{np.int64(0): 2, np.int64(1): 1, np.int64(2): 2, np.int64(3): 1}",2,0.9097969991173874,1.05,0.0,1.0
"[6, 10, 16, 20, 24, 40]",5.3533068226917955,0.3966322352941176,montecarlo,116,6,34,0,"{np.int64(0): 2, np.int64(1): 2, np.int64(2): 1, np.int64(3): 1}",0,0.8961753456899088,0.95,0.0,1.0
"[1, 3, 13, 18, 20, 21]",4.670354985646298,0.47427929411764713,montecarlo,76,2,20,0,"{np.int64(0): 2, np.int64(1): 3, np.int64(2): 1}",2,0.889555751691674,0.85,0.0,1.0
"[2, 14, 16, 18, 28, 33]",6.338957260536836,0.49050478431372546,montecarlo,111,5,31,0,"{np.int64(0): 1, np.int64(1): 3, np.int64(2): 1, np.int64(3): 1}",1,0.9056192997940571,0.95,0.0,1.0
"[7, 8, 10, 12, 19, 30]",5.515170614810585,0.4532008627450981,montecarlo,86,4,23,0,"{np.int64(0): 3, np.int64(1): 2, np.int64(2): 1}",2,0.8921447484554281,0.9,0.0,1.0
"[4, 5, 8, 17, 26, 29]",5.966286500970875,0.4902106666666667,montecarlo,89,3,25,0,"{np.int64(0): 3, np.int64(1): 1, np.int64(2): 2}",3,0.9073256840247131,0.9,0.0,1.0
"[2, 8, 18, 24, 26, 31]",6.503755947001713,0.42138713725490196,montecarlo,109,5,29,0,"{np.int64(0): 2, np.int64(1): 1, np.int64(2): 2, np.int64(3): 1}",2,0.9106207708149456,0.95,0.0,1.0
"[13, 28, 31, 36, 38, 40]",5.155326906453456,0.5824165490196079,montecarlo,186,4,27,0,"{np.int64(1): 1, np.int64(2): 1, np.int64(3): 4}",2,0.9180347160929685,0.9,0.0,1.0
"[10, 19, 24, 27, 30, 37]",6.557338185722443,0.6012890980392157,montecarlo,147,3,27,0,"{np.int64(0): 1, np.int64(1): 1, np.int64(2): 3, np.int64(3): 1}",2,0.9097381582818476,1.05,0.0,1.0
"[2, 6, 18, 29, 32, 36]",6.508747666019417,0.43854400000000004,montecarlo,123,5,34,0,"{np.int64(0): 2, np.int64(1): 1, np.int64(2): 1, np.int64(3): 2}",2,0.9102677258017063,0.95,0.0,1.0
"[6, 9, 10, 31, 32, 38]",5.211455785189416,0.39555380392156864,montecarlo,126,4,32,0,"{np.int64(0): 3, np.int64(3): 3}",1,0.9078552515445719,1.1,0.0,1.0
"[10, 11, 20, 25, 37, 38]",6.793436510489244,0.5472694901960784,montecarlo,141,3,28,0,"{np.int64(0): 1, np.int64(1): 2, np.int64(2): 1, np.int64(3): 2}",2,0.9149749926448956,1.1,0.0,1.0
"[6, 9, 11, 24, 27, 32]",6.36306339036741,0.5547204705882353,montecarlo,109,3,26,0,"{np.int64(0): 2, np.int64(1): 1, np.int64(2): 2, np.int64(3): 1}",1,0.9166225360400118,1.1,0.0,1.0
"[13, 14, 22, 34, 38, 40]",5.596918901503904,0.4784459607843138,montecarlo,161,5,27,0,"{np.int64(1): 2, np.int64(2): 1, np.int64(3): 3}",1,0.9092085907619888,0.85,0.0,1.0
"[5, 16, 29, 33, 34, 35]",5.524632731696174,0.46074988235294123,montecarlo,152,2,30,0,"{np.int64(0): 1, np.int64(1): 1, np.int64(2): 1, np.int64(3): 3}",2,0.9085025007355104,0.9,0.0,1.0
