combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,rare_bonus,arima_score
"[2, 15, 27, 29, 35, 37]",3.9110389703378763,0.5,combined,145,1,35,1,"{np.int64(0): 1, np.int64(1): 1, np.int64(2): 2, np.int64(3): 2}",3,0.8437229437229438,0.87,0.0,0.064,0.6357873447375917
"[6, 7, 11, 22, 23, 24]",2.685119867332421,0.5,combined,93,3,18,1,"{np.int64(0): 2, np.int64(1): 1, np.int64(2): 3}",3,0.8532467532467533,0.83,0.0,0.032,0.6357873447375917
"[4, 5, 10, 12, 26, 32]",3.266824002874802,0.5,combined,89,5,28,2,"{np.int64(0): 3, np.int64(1): 1, np.int64(2): 1, np.int64(3): 1}",1,0.8489177489177488,0.83,0.0,0.032,0.6357873447375917
"[5, 9, 12, 27, 35, 39]",3.7048346938541514,0.5,combined,127,1,34,2,"{np.int64(0): 2, np.int64(1): 1, np.int64(2): 1, np.int64(3): 2}",1,0.8662337662337662,0.83,0.0,0.064,0.6357873447375917
"[6, 15, 29, 30, 35, 39]",3.146916161052993,0.5,combined,154,2,33,0,"{np.int64(0): 1, np.int64(1): 1, np.int64(2): 2, np.int64(3): 2}",1,0.8424242424242424,0.83,0.0,0.096,0.6357873447375917
"[7, 12, 17, 20, 22, 34]",3.787151264877579,0.5,combined,112,4,27,1,"{np.int64(0): 1, np.int64(1): 3, np.int64(2): 1, np.int64(3): 1}",2,0.8532467532467533,0.83,0.0,0.032,0.6357873447375917
"[5, 11, 26, 31, 32, 34]",3.9317144445096024,0.5,combined,139,3,29,1,"{np.int64(0): 1, np.int64(1): 1, np.int64(2): 1, np.int64(3): 3}",3,0.845021645021645,0.83,0.0,0.096,0.6357873447375917
"[14, 22, 26, 28, 33, 34]",2.4059349101860903,0.5,combined,157,5,20,0,"{np.int64(1): 1, np.int64(2): 3, np.int64(3): 2}",0,0.8454545454545455,0.83,0.0,0.096,0.6357873447375917
"[6, 16, 25, 34, 37, 40]",3.319602609466526,0.5,combined,158,4,34,0,"{np.int64(0): 1, np.int64(1): 1, np.int64(2): 1, np.int64(3): 3}",1,0.8164502164502164,0.83,0.0,0.128,0.6357873447375917
"[1, 4, 10, 16, 33, 37]",3.8584970637965745,0.5,combined,101,3,36,2,"{np.int64(0): 3, np.int64(1): 1, np.int64(3): 2}",1,0.8454545454545455,0.83,0.0,0.064,0.6357873447375917
"[7, 11, 18, 29, 30, 37]",3.5715890794236915,0.5,combined,132,2,30,1,"{np.int64(0): 1, np.int64(1): 2, np.int64(2): 2, np.int64(3): 1}",4,0.8389610389610389,0.83,0.0,0.032,0.6357873447375917
"[6, 14, 15, 16, 28, 38]",3.6115088181599426,0.5,combined,117,5,32,0,"{np.int64(0): 1, np.int64(1): 3, np.int64(2): 1, np.int64(3): 1}",0,0.835930735930736,0.83,0.0,0.096,0.6357873447375917
"[6, 8, 11, 16, 37, 38]",3.9763296516879416,0.5,combined,116,4,32,1,"{np.int64(0): 2, np.int64(1): 2, np.int64(3): 2}",2,0.8121212121212121,0.83,0.0,0.096,0.6357873447375917
"[4, 12, 14, 21, 34, 37]",3.712959560701188,0.5,combined,122,4,33,1,"{np.int64(0): 1, np.int64(1): 2, np.int64(2): 1, np.int64(3): 2}",1,0.8181818181818182,0.83,0.0,0.096,0.6357873447375917
