combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,rare_bonus,arima_score
"[5, 11, 21, 22, 26, 38]",3.5260594738089757,0.5,combined,123,3,33,0,"{np.int64(0): 1, np.int64(1): 1, np.int64(2): 3, np.int64(3): 1}",2,0.8153535353535353,0.83,0.0,0.032,0.5934653640171786
"[3, 4, 17, 19, 22, 28]",3.2303938305356903,0.5,combined,93,3,25,0,"{np.int64(0): 2, np.int64(1): 2, np.int64(2): 2}",3,0.8581818181818182,0.87,0.0,0.0,0.5934653640171786
"[2, 7, 15, 26, 35, 37]",3.6544158412265095,0.5,combined,122,2,35,0,"{np.int64(0): 2, np.int64(1): 1, np.int64(2): 1, np.int64(3): 2}",3,0.8593939393939394,0.87,0.0,0.064,0.5934653640171786
"[6, 7, 11, 21, 22, 40]",3.5228943252008835,0.5,combined,107,3,34,1,"{np.int64(0): 2, np.int64(1): 1, np.int64(2): 2, np.int64(3): 1}",2,0.8020202020202021,0.83,0.0,0.032,0.5934653640171786
"[9, 11, 18, 19, 25, 27]",2.926935207734906,0.5,combined,109,1,18,1,"{np.int64(0): 1, np.int64(1): 3, np.int64(2): 2}",2,0.8715151515151516,0.83,0.0,0.0,0.5934653640171786
"[4, 21, 24, 30, 38, 40]",2.9713551910416465,0.5,combined,157,5,36,1,"{np.int64(0): 1, np.int64(2): 3, np.int64(3): 2}",0,0.8569696969696969,0.83,0.0,0.064,0.5934653640171786
"[6, 15, 16, 29, 30, 39]",3.455730830873122,0.5,combined,135,3,33,0,"{np.int64(0): 1, np.int64(1): 2, np.int64(2): 2, np.int64(3): 1}",1,0.8557575757575757,0.83,0.0,0.064,0.5934653640171786
"[7, 12, 17, 20, 22, 34]",3.5324856846193433,0.5,combined,112,4,27,1,"{np.int64(0): 1, np.int64(1): 3, np.int64(2): 1, np.int64(3): 1}",2,0.8424242424242424,0.83,0.0,0.032,0.5934653640171786
"[3, 11, 20, 26, 32, 34]",3.552052057833001,0.5,combined,126,4,31,0,"{np.int64(0): 1, np.int64(1): 2, np.int64(2): 1, np.int64(3): 2}",2,0.8448484848484848,0.83,0.0,0.064,0.5934653640171786
"[14, 19, 22, 26, 33, 34]",2.8766525059836328,0.5,combined,148,4,20,0,"{np.int64(1): 2, np.int64(2): 2, np.int64(3): 2}",1,0.8363636363636364,0.87,0.0,0.096,0.5934653640171786
"[6, 16, 19, 34, 37, 40]",3.182125314262293,0.5,combined,152,4,34,1,"{np.int64(0): 1, np.int64(1): 2, np.int64(3): 3}",2,0.8315151515151515,0.83,0.0,0.096,0.5934653640171786
"[1, 11, 16, 30, 36, 37]",3.696581855069912,0.5,combined,131,3,36,1,"{np.int64(0): 1, np.int64(1): 2, np.int64(2): 1, np.int64(3): 2}",2,0.8286868686868687,0.83,0.0,0.064,0.5934653640171786
"[7, 11, 18, 29, 30, 37]",3.329676389716018,0.5,combined,132,2,30,0,"{np.int64(0): 1, np.int64(1): 2, np.int64(2): 2, np.int64(3): 1}",4,0.8214141414141414,0.83,0.0,0.032,0.5934653640171786
"[9, 14, 15, 16, 28, 38]",3.360560567043458,0.5,combined,120,4,29,0,"{np.int64(0): 1, np.int64(1): 3, np.int64(2): 1, np.int64(3): 1}",0,0.8715151515151516,0.83,0.0,0.064,0.5934653640171786
"[1, 2, 20, 21, 22, 30]",3.025954004531227,0.5,combined,96,4,29,1,"{np.int64(0): 2, np.int64(1): 1, np.int64(2): 3}",1,0.8303030303030303,0.87,0.0,0.0,0.5934653640171786
