ranking,combination,source,score,confidence,priority,weight,high_numbers_count,has_number_14
1,10-14-16-19-32-40,200_analyzer_v2,1.0,1.0,2,0.12,2,True
2,4-16-19-23-31-40,200_analyzer_v2,1.0,1.0,2,0.12,2,False
3,7-15-31-33-39-40,200_analyzer_v2,1.0,1.0,2,0.12,4,False
4,14-19-23-25-31-40,200_analyzer_v2,1.0,1.0,2,0.12,2,True
5,8-14-16-31-33-36,200_analyzer_v2,0.9520000000000001,1.0,2,0.12,3,True
6,6-20-23-31-33-39,200_analyzer_v2,0.896,1.0,2,0.12,3,False
7,6-10-16-33-35-39,200_analyzer_v2,0.8400000000000001,1.0,2,0.12,3,False
8,3-10-19-31-39-40,200_analyzer_v2,0.784,1.0,2,0.12,3,False
9,13-26-30-32-39-40,neural_enhanced_v2,0.7207197546958923,0.02959970198571682,1,0.4,4,False
10,3-16-25-26-38-40,neural_enhanced_v2,0.7197718024253845,0.028245486319065094,1,0.4,2,False
