combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[10, 12, 16, 27, 38, 40]",5.75939393939394,0.5,transformer_fallback,143,5,30,1,"{0: 1, 1: 2, 2: 1, 3: 2}",0,0.6484848484848486,0.95,0.0,1.0
"[3, 7, 22, 25, 28, 35]",5.896060606060606,0.5,transformer_fallback,120,2,32,1,"{0: 2, 2: 3, 3: 1}",2,0.7818181818181819,1.1,0.0,1.0
"[6, 16, 17, 19, 21, 37]",6.055454545454546,0.5,transformer_fallback,116,2,31,0,"{0: 1, 1: 3, 2: 1, 3: 1}",3,0.7636363636363637,1.05,0.0,1.0
"[9, 12, 27, 28, 36, 40]",4.878787878787879,0.5,transformer_fallback,152,4,31,0,"{0: 1, 1: 1, 2: 2, 3: 2}",0,0.696969696969697,0.9500000000000001,0.0,1.0
"[12, 16, 23, 24, 33, 38]",5.695454545454545,0.5,transformer_fallback,146,4,26,0,"{1: 2, 2: 2, 3: 2}",1,0.696969696969697,1.05,0.0,1.0
