combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[6, 32, 33, 37, 39, 40]",3.440121212121212,0.5,transformer_fallback,187,3,34,2,"{np.int64(0): 1, np.int64(3): 5}",1,0.6836363636363637,0.8500000000000001,0.0,1.0
"[2, 12, 26, 28, 29, 33]",5.896060606060606,0.5,transformer_fallback,130,4,31,2,"{np.int64(0): 1, np.int64(1): 1, np.int64(2): 3, np.int64(3): 1}",2,0.7818181818181819,1.1,0.0,1.0
"[8, 9, 14, 25, 27, 37]",5.6973939393939395,0.5,transformer_fallback,120,2,29,1,"{np.int64(0): 2, np.int64(1): 1, np.int64(2): 2, np.int64(3): 1}",1,0.7018181818181819,1.1,0.0,1.0
"[7, 10, 23, 27, 32, 37]",6.0307272727272725,0.5,transformer_fallback,136,2,30,2,"{np.int64(0): 2, np.int64(2): 2, np.int64(3): 2}",3,0.7018181818181819,1.1,0.0,1.0
"[6, 9, 14, 15, 24, 32]",5.5307272727272725,0.5,transformer_fallback,100,4,26,1,"{np.int64(0): 2, np.int64(1): 2, np.int64(2): 1, np.int64(3): 1}",0,0.7018181818181818,1.05,0.0,1.0
