combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[1, 2, 13, 14, 16, 20]",2.7333333333333334,0.5,default,66,4,19,0,"{np.int64(0): 2, np.int64(1): 4}",2,1.0,0.7749999999999999,0.0,1.0
"[2, 5, 14, 19, 21, 29]",5.000000000000001,0.5,default,90,2,27,0,"{np.int64(0): 2, np.int64(1): 2, np.int64(2): 2}",4,1.0,0.9,0.0,1.0
"[4, 9, 13, 14, 27, 28]",4.916666666666668,0.5,default,95,3,24,0,"{np.int64(0): 2, np.int64(1): 2, np.int64(2): 2}",1,1.0,0.9500000000000001,0.0,1.0
"[14, 19, 21, 26, 31, 34]",4.983333333333333,0.5,default,145,3,20,0,"{np.int64(1): 2, np.int64(2): 2, np.int64(3): 2}",2,1.0,1.05,0.0,1.0
"[1, 14, 16, 20, 30, 39]",4.65,0.5,default,120,4,38,0,"{np.int64(0): 1, np.int64(1): 3, np.int64(2): 1, np.int64(3): 1}",0,1.0,1.05,0.0,1.0
"[14, 17, 21, 31, 32, 33]",4.983333333333333,0.5,default,148,2,19,0,"{np.int64(1): 2, np.int64(2): 1, np.int64(3): 3}",2,1.0,0.9749999999999999,0.0,1.0
"[14, 20, 34, 37, 39, 40]",3.5666666666666664,0.5,default,184,4,26,0,"{np.int64(1): 2, np.int64(3): 4}",1,1.0,0.9,0.0,1.0
"[2, 7, 19, 20, 26, 29]",5.65,0.5,default,103,3,27,0,"{np.int64(0): 2, np.int64(1): 2, np.int64(2): 2}",4,1.0,1.05,0.0,1.0
"[1, 2, 8, 9, 20, 21]",3.5666666666666664,0.5,default,61,3,20,0,"{np.int64(0): 4, np.int64(1): 1, np.int64(2): 1}",1,1.0,0.8,0.0,1.0
"[3, 13, 16, 20, 23, 29]",5.65,0.5,default,104,2,26,0,"{np.int64(0): 1, np.int64(1): 3, np.int64(2): 2}",4,1.0,1.05,0.0,1.0
"[2, 7, 13, 19, 21, 27]",4.750000000000001,0.5,default,89,1,25,0,"{np.int64(0): 2, np.int64(1): 2, np.int64(2): 2}",4,1.0,0.7999999999999999,0.0,1.0
"[8, 10, 19, 20, 28, 29]",4.983333333333333,0.5,default,114,4,21,0,"{np.int64(0): 2, np.int64(1): 2, np.int64(2): 2}",2,1.0,1.05,0.0,1.0
"[2, 10, 16, 18, 22, 27]",4.916666666666668,0.5,default,95,5,25,0,"{np.int64(0): 2, np.int64(1): 2, np.int64(2): 2}",1,1.0,0.7999999999999999,0.0,1.0
"[1, 5, 6, 7, 22, 23]",3.9,0.5,default,64,2,22,0,"{np.int64(0): 4, np.int64(2): 2}",3,1.0,0.8,0.0,1.0
"[2, 20, 21, 26, 28, 34]",5.816666666666667,0.5,default,131,5,32,0,"{np.int64(0): 1, np.int64(1): 1, np.int64(2): 3, np.int64(3): 1}",1,1.0,1.0,0.0,1.0
