combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[1, 11, 16, 29, 34, 40]",6.430716881497737,0.7014705882352942,clustering,131,3,39,0,"{0: 1, 1: 2, 2: 1, 3: 2}",2,0.8787353301804168,1.05,0.0,1.0
"[16, 22, 23, 33, 35, 40]",6.337232223630388,0.6747058823529412,clustering,169,3,24,0,"{1: 1, 2: 2, 3: 3}",1,0.8810649851112279,0.9,0.0,1.0
"[9, 19, 21, 23, 32, 40]",7.692753606276982,0.6174019607843138,clustering,144,2,31,0,"{0: 1, 1: 1, 2: 2, 3: 2}",2,0.8542301629006831,1.05,0.0,1.0
"[1, 7, 17, 20, 21, 40]",5.653457511297949,0.5638266666666667,genetico,106,2,39,0,"{0: 2, 1: 2, 2: 1, 3: 1}",2,0.839078647749168,1.05,0.0,1.0
"[17, 19, 23, 29, 32, 40]",5.433192711714218,0.6653431372549019,genetico,160,2,23,0,"{1: 2, 2: 2, 3: 2}",4,0.8773690663864074,0.9,0.0,1.0
"[2, 7, 9, 19, 20, 40]",4.826107667975229,0.6048039215686275,genetico,97,3,38,0,"{0: 3, 1: 2, 3: 1}",3,0.8471010684883518,0.9,0.0,1.0
"[2, 6, 22, 30, 31, 37]",6.69229546226907,0.4380047843137256,montecarlo,128,4,35,0,"{0: 2, 2: 2, 3: 2}",3,0.911122788579436,1.1,0.0,1.0
"[1, 25, 31, 34, 35, 39]",3.5737943572027655,0.41668125490196084,montecarlo,165,1,38,0,"{0: 1, 2: 1, 3: 4}",1,0.9214923804519181,0.85,0.0,1.0
"[5, 6, 10, 29, 31, 40]",6.703363551354414,0.4960930196078432,montecarlo,121,3,35,0,"{0: 3, 2: 1, 3: 2}",3,0.8966719215274128,1.1,0.0,1.0
"[3, 10, 11, 24, 25, 38]",5.9707312550874265,0.5636274509803921,transformer_fallback,111,3,35,0,"{0: 2, 1: 1, 2: 2, 3: 1}",2,0.9207742161499387,1.1,0.0,1.0
"[1, 6, 12, 14, 23, 30]",4.904787903805138,0.5750768627450981,transformer_fallback,86,4,29,0,"{0: 2, 1: 2, 2: 2}",1,0.9139954457873534,0.9500000000000001,0.0,1.0
"[3, 14, 27, 33, 34, 40]",4.912445858056938,0.6478270588235294,transformer_fallback,151,3,37,0,"{0: 1, 1: 1, 2: 1, 3: 3}",1,0.8785776843580312,0.9500000000000001,0.0,1.0
"[19, 20, 21, 22, 33, 40]",3.847695554417248,0.5108823529411766,lstm,155,3,21,0,"{1: 2, 2: 2, 3: 2}",1,0.8194104546705703,0.9,0.0,1.0
"[7, 19, 20, 21, 23, 40]",6.0647235306629215,0.45357843137254905,lstm,130,2,33,0,"{0: 1, 1: 2, 2: 2, 3: 1}",3,0.8216250031278933,1.05,0.0,1.0
"[20, 21, 23, 24, 27, 40]",3.2615985647017607,0.5175490196078432,lstm,155,3,20,0,"{1: 1, 2: 4, 3: 1}",1,0.8491679803818533,0.8500000000000001,0.0,1.0
"[2, 8, 18, 20, 21, 40]",5.876089497491062,0.40117647058823536,lstm_v2,109,5,38,0,"{0: 2, 1: 2, 2: 1, 3: 1}",1,0.8448064459625153,0.95,0.0,1.0
"[9, 15, 16, 20, 21, 40]",6.960929883671808,0.5425490196078432,lstm_v2,121,3,31,0,"{0: 1, 1: 3, 2: 1, 3: 1}",0,0.8463303555789106,1.05,0.0,1.0
"[7, 20, 21, 22, 38, 40]",7.384074956467085,0.44230392156862747,lstm_v2,148,4,33,0,"{0: 1, 1: 1, 2: 2, 3: 2}",1,0.8361008933263269,1.1,0.0,1.0
"[6, 20, 21, 22, 31, 40]",7.133437160623577,0.4325,lstm_v2,140,4,34,0,"{0: 1, 1: 1, 2: 2, 3: 2}",1,0.840707654580487,1.1,0.0,1.0
"[2, 3, 6, 20, 21, 40]",5.199491275385614,0.3736764705882353,lstm_v2,92,4,38,0,"{0: 3, 1: 1, 2: 1, 3: 1}",2,0.8414433350849536,0.9,0.0,1.0
"[14, 15, 20, 21, 35, 40]",6.971934180293242,0.5719607843137254,lstm_v2,145,3,26,0,"{1: 3, 2: 1, 3: 2}",0,0.8506918899982484,1.05,0.0,1.0
"[2, 13, 20, 21, 38, 40]",6.362895842993003,0.4984803921568628,lstm_v2,134,4,38,0,"{0: 1, 1: 2, 2: 1, 3: 2}",2,0.8433701173585566,1.1,0.0,1.0
"[15, 20, 21, 29, 37, 40]",6.502901819109145,0.5327941176470589,lstm_v2,162,2,25,0,"{1: 2, 2: 2, 3: 2}",2,0.8527938342967245,0.9,0.0,1.0
"[18, 19, 20, 21, 32, 40]",7.139312014716554,0.471421568627451,lstm_v2,150,4,22,0,"{1: 3, 2: 1, 3: 2}",1,0.8291044215899708,1.05,0.0,1.0
"[1, 11, 19, 20, 21, 40]",6.092344179027364,0.4648529411764706,lstm_v2,112,2,39,0,"{0: 1, 1: 3, 2: 1, 3: 1}",2,0.8224432600155144,1.05,0.0,1.0
"[19, 20, 21, 25, 31, 40]",4.975219721256869,0.48544117647058826,lstm_v2,156,2,21,0,"{1: 2, 2: 2, 3: 2}",2,0.8258414032980507,0.9,0.0,1.0
"[10, 18, 19, 20, 21, 40]",7.133089254987334,0.4444607843137256,lstm_v2,128,4,30,0,"{0: 1, 1: 3, 2: 1, 3: 1}",1,0.8328353727197657,1.05,0.0,1.0
