combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[2, 8, 9, 13, 26, 36]",5.036251993620415,0.5,transformer_fallback,94,4,34,0,"{0: 3, 1: 1, 2: 1, 3: 1}",2,0.8822966507177034,0.9500000000000001,0.0,1.0
"[1, 6, 16, 37, 38, 39]",4.997129186602871,0.5,transformer_fallback,137,3,38,0,"{0: 2, 1: 1, 3: 3}",1,0.8261562998405103,1.05,0.0,1.0
"[9, 20, 31, 35, 37, 39]",4.677830940988836,0.5,transformer_fallback,171,1,30,0,"{0: 1, 1: 1, 3: 4}",2,0.861244019138756,0.85,0.0,1.0
"[3, 8, 16, 21, 23, 28]",5.02311004784689,0.5,transformer_fallback,99,3,25,0,"{0: 2, 1: 1, 2: 3}",2,0.8494417862838916,0.9,0.0,1.0
"[4, 7, 21, 34, 35, 37]",5.930510366826156,0.5,transformer_fallback,138,2,33,0,"{0: 2, 2: 1, 3: 3}",2,0.8679425837320575,1.1,0.0,1.0
"[3, 4, 8, 19, 21, 33]",5.280765550239234,0.5,transformer_fallback,88,2,30,0,"{0: 3, 1: 1, 2: 1, 3: 1}",2,0.8685805422647528,0.9,0.0,1.0
"[9, 14, 20, 26, 30, 38]",5.597814992025518,0.5,transformer_fallback,137,5,29,0,"{0: 1, 1: 2, 2: 2, 3: 1}",0,0.8695374800637958,1.0,0.0,1.0
"[5, 14, 22, 25, 32, 34]",5.767671451355662,0.5,transformer_fallback,132,4,29,0,"{0: 1, 1: 1, 2: 2, 3: 2}",1,0.877511961722488,1.1,0.0,1.0
"[6, 9, 14, 23, 26, 29]",5.923492822966507,0.5,transformer_fallback,107,3,23,0,"{0: 2, 1: 1, 2: 3}",2,0.8503987240829346,1.1,0.0,1.0
"[14, 16, 26, 33, 37, 39]",5.096108452950559,0.5,transformer_fallback,165,3,25,0,"{1: 2, 2: 1, 3: 3}",1,0.8236044657097289,0.9,0.0,1.0
"[1, 4, 16, 22, 23, 35]",6.005422647527911,0.5,transformer_fallback,101,3,34,0,"{0: 2, 1: 1, 2: 2, 3: 1}",1,0.84688995215311,1.05,0.0,1.0
"[6, 19, 21, 24, 28, 29]",5.337783094098883,0.5,transformer_fallback,127,3,23,0,"{0: 1, 1: 1, 2: 4}",2,0.8861244019138756,1.05,0.0,1.0
"[6, 16, 22, 25, 37, 40]",5.9920255183413085,0.5,transformer_fallback,146,4,34,0,"{0: 1, 1: 1, 2: 2, 3: 2}",1,0.8133971291866029,1.05,0.0,1.0
"[12, 23, 32, 36, 37, 38]",4.68280701754386,0.5,transformer_fallback,178,4,26,0,"{1: 1, 2: 1, 3: 4}",2,0.8736842105263157,0.9500000000000001,0.0,1.0
"[7, 8, 16, 19, 25, 26]",4.916985645933014,0.5,transformer_fallback,101,3,19,0,"{0: 2, 1: 2, 2: 2}",2,0.8341307814992025,0.9749999999999999,0.0,1.0
"[3, 9, 16, 31, 33, 40]",5.925917065390749,0.5,transformer_fallback,132,2,37,0,"{0: 2, 1: 1, 3: 3}",2,0.8564593301435407,1.05,0.0,1.0
"[2, 11, 12, 30, 32, 35]",5.944673046251993,0.5,transformer_fallback,122,4,33,0,"{0: 1, 1: 2, 2: 1, 3: 2}",2,0.9033492822966507,1.1,0.0,1.0
"[1, 22, 25, 27, 39, 40]",3.9497288676236044,0.5,transformer_fallback,154,2,39,0,"{0: 1, 2: 3, 3: 2}",0,0.8743221690590112,0.9500000000000001,0.0,1.0
"[6, 12, 16, 19, 25, 34]",5.749808612440192,0.5,transformer_fallback,112,4,28,0,"{0: 1, 1: 3, 2: 1, 3: 1}",1,0.8328548644338118,1.05,0.0,1.0
