combination,score,svi_score,source,timestamp
"[5, 7, 13, 20, 30, 36]",0.015709129411764704,0.6769607843137254,clustering,2025-08-19T13:40:14.848200
"[3, 14, 20, 21, 23, 30]",0.013869129411764707,0.5449607843137255,clustering,2025-08-19T13:40:14.848206
"[7, 11, 16, 25, 30, 38]",0.006544611764705883,0.6155686274509805,meta_learning,2025-08-19T13:40:14.848207
"[3, 12, 20, 25, 31, 32]",0.006287200000000001,0.5706666666666668,meta_learning,2025-08-19T13:40:14.848209
"[10, 13, 16, 21, 29, 35]",0.006112952941176471,0.5452254901960785,meta_learning,2025-08-19T13:40:14.848210
"[1, 6, 7, 16, 28, 37]",0.005680917647058823,0.5040196078431373,montecarlo,2025-08-19T13:40:14.848212
"[3, 15, 20, 21, 23, 35]",0.0054126823529411765,0.4315803921568628,omega_200_analyzer,2025-08-19T13:40:14.848213
"[6, 9, 13, 21, 24, 28]",0.0,0.5513725490196079,montecarlo,2025-08-19T13:40:14.848214
"[3, 7, 13, 16, 20, 30]",0.5,0.5,maestra,2025-08-19T13:40:14.848216
