combination,score,svi_score,source,timestamp
"[2, 5, 20, 21, 27, 32]",67.42112,65.0,genetico,2025-08-02T12:57:05.237095
"[3, 9, 20, 22, 37, 40]",34.54048,65.0,genetico,2025-08-02T12:57:05.237101
"[8, 11, 15, 26, 36, 37]",3.763990119458838,65.0,clustering,2025-08-02T12:57:05.237103
"[2, 7, 8, 9, 21, 32]",3.763990119458838,65.0,clustering,2025-08-02T12:57:05.237104
"[12, 23, 26, 29, 30, 40]",2.454217860561915,63.84,clustering,2025-08-02T12:57:05.237106
"[5, 11, 12, 22, 24, 30]",2.024678477280611,63.2,clustering,2025-08-02T12:57:05.237108
"[6, 7, 11, 26, 36, 37]",2.024678477280611,63.2,clustering,2025-08-02T12:57:05.237110
"[1, 2, 8, 21, 32, 39]",1.815,60.5,transformer_deep,2025-08-02T12:57:05.237112
"[9, 12, 13, 28, 29, 35]",0.9075,60.5,transformer_deep,2025-08-02T12:57:05.237122
"[10, 11, 20, 25, 37, 38]",0.8218499200000001,60.68,montecarlo,2025-08-02T12:57:05.237124
"[7, 13, 27, 28, 31, 37]",0.605,60.5,transformer_deep,2025-08-02T12:57:05.237125
"[5, 11, 24, 28, 35, 39]",0.4216144851022942,60.35,apriori,2025-08-02T12:57:05.237134
"[6, 10, 16, 20, 24, 40]",0.41092496000000006,60.68,montecarlo,2025-08-02T12:57:05.237145
"[6, 9, 11, 24, 27, 32]",0.41092496000000006,60.68,montecarlo,2025-08-02T12:57:05.237148
"[1, 11, 14, 23, 24, 25]",0.4040182542376226,60.33,apriori,2025-08-02T12:57:05.237154
"[10, 11, 13, 24, 34, 35]",0.3025,60.5,transformer_deep,2025-08-02T12:57:05.237158
"[1, 6, 11, 15, 22, 28]",0.21500703721266168,60.36,apriori,2025-08-02T12:57:05.237160
"[5, 10, 14, 21, 26, 32]",0.21235762444173778,60.35,apriori,2025-08-02T12:57:05.237162
"[5, 9, 15, 24, 26, 31]",0.21210867130599415,60.35,apriori,2025-08-02T12:57:05.237164
"[6, 12, 18, 24, 29, 35]",0.0,60.0,lstm_v2,2025-08-02T12:57:05.237166
"[3, 7, 15, 24, 30, 39]",0.0,60.68,montecarlo,2025-08-02T12:57:05.237172
"[1, 3, 13, 18, 20, 21]",0.0,60.68,montecarlo,2025-08-02T12:57:05.237174
"[2, 14, 16, 18, 28, 33]",0.0,60.68,montecarlo,2025-08-02T12:57:05.237182
"[7, 8, 10, 12, 19, 30]",0.0,60.68,montecarlo,2025-08-02T12:57:05.237184
"[4, 5, 8, 17, 26, 29]",0.0,60.68,montecarlo,2025-08-02T12:57:05.237185
"[2, 8, 18, 24, 26, 31]",0.0,60.68,montecarlo,2025-08-02T12:57:05.237187
"[13, 28, 31, 36, 38, 40]",0.0,60.68,montecarlo,2025-08-02T12:57:05.237188
"[10, 19, 24, 27, 30, 37]",0.0,60.68,montecarlo,2025-08-02T12:57:05.237190
"[2, 6, 18, 29, 32, 36]",0.0,60.68,montecarlo,2025-08-02T12:57:05.237191
"[6, 9, 10, 31, 32, 38]",0.0,60.68,montecarlo,2025-08-02T12:57:05.237192
