combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[3, 11, 15, 19, 20, 40]",5.550000000000001,0.5,default,108,2,37,0,"{0: 1, 1: 4, 3: 1}",3,1.0,1.05,0.0,1.0
"[1, 3, 4, 15, 19, 40]",4.333333333333334,0.5,default,82,2,39,0,"{0: 3, 1: 2, 3: 1}",2,1.0,0.85,0.0,1.0
"[7, 15, 20, 21, 27, 40]",5.816666666666667,0.5,default,130,2,33,0,"{0: 1, 1: 2, 2: 2, 3: 1}",1,1.0,1.05,0.0,1.0
"[5, 9, 18, 24, 27, 40]",5.816666666666667,0.5,default,123,3,35,0,"{0: 2, 1: 1, 2: 2, 3: 1}",1,1.0,1.05,0.0,1.0
