combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,rare_bonus,arima_score
"[3, 11, 12, 24, 26, 40]",3.4850480945364617,0.5,default,116,4,37,1,"{0: 1, 1: 2, 2: 2, 3: 1}",2,1.0,0.83,0.0,0.032,0.5793607604792965
"[10, 17, 30, 31, 34, 40]",2.9821629544404327,0.5,default,162,4,30,1,"{0: 1, 1: 1, 2: 1, 3: 3}",2,1.0,0.73,0.0,0.064,0.5793607604792965
"[5, 8, 28, 36, 37, 40]",2.60557846012889,0.5,default,154,4,35,3,"{0: 2, 2: 1, 3: 3}",2,1.0,0.83,0.0,0.064,0.5793607604792965
"[1, 11, 12, 17, 19, 20]",1.5353060152701357,0.5,default,80,2,19,0,"{0: 1, 1: 5}",3,1.0,0.83,0.0,0.0,0.5793607604792965
"[2, 12, 15, 16, 23, 29]",3.0416439925163075,0.5,default,97,3,27,1,"{0: 1, 1: 3, 2: 2}",3,1.0,0.83,0.0,0.0,0.5793607604792965
"[2, 3, 6, 12, 15, 29]",3.205023726971469,0.5,default,67,3,27,1,"{0: 3, 1: 2, 2: 1}",3,1.0,0.69,0.0,0.032,0.5793607604792965
"[4, 12, 16, 17, 25, 28]",3.3699484234545753,0.5,default,102,4,24,0,"{0: 1, 1: 3, 2: 2}",1,1.0,0.83,0.0,0.0,0.5793607604792965
"[6, 11, 17, 20, 24, 27]",2.9242268783925027,0.5,default,105,3,21,1,"{0: 1, 1: 3, 2: 2}",2,1.0,0.83,0.0,0.064,0.5793607604792965
"[2, 6, 11, 17, 19, 31]",2.789042700947334,0.5,default,86,2,29,0,"{0: 2, 1: 3, 3: 1}",5,1.0,0.83,0.0,0.064,0.5793607604792965
"[4, 19, 20, 26, 29, 39]",3.4850480945364617,0.5,default,137,3,35,1,"{0: 1, 1: 2, 2: 2, 3: 1}",2,1.0,0.83,0.0,0.032,0.5793607604792965
"[5, 12, 13, 24, 27, 32]",3.503587638871799,0.5,default,113,3,27,2,"{0: 1, 1: 2, 2: 2, 3: 1}",2,1.0,0.83,0.0,0.064,0.5793607604792965
"[6, 10, 17, 20, 23, 33]",3.503587638871799,0.5,default,109,3,27,0,"{0: 2, 1: 2, 2: 1, 3: 1}",2,1.0,0.83,0.0,0.064,0.5793607604792965
"[1, 5, 6, 12, 14, 25]",3.030443017813708,0.5,default,63,3,24,1,"{0: 3, 1: 2, 2: 1}",1,1.0,0.69,0.0,0.064,0.5793607604792965
"[2, 11, 22, 25, 32, 33]",3.503587638871799,0.5,default,125,3,31,1,"{0: 1, 1: 1, 2: 2, 3: 2}",2,1.0,0.83,0.0,0.064,0.5793607604792965
"[2, 6, 17, 21, 31, 34]",3.6186873099536863,0.5,default,111,3,32,0,"{0: 2, 1: 1, 2: 1, 3: 2}",3,1.0,0.87,0.0,0.096,0.5793607604792965
"[2, 11, 15, 21, 23, 39]",3.581608221283011,0.5,default,111,1,37,0,"{0: 1, 1: 2, 2: 2, 3: 1}",3,1.0,0.83,0.0,0.032,0.5793607604792965
"[3, 11, 14, 15, 25, 38]",3.503587638871799,0.5,default,106,2,35,0,"{0: 1, 1: 3, 2: 1, 3: 1}",2,1.0,0.83,0.0,0.064,0.5793607604792965
"[3, 6, 24, 25, 32, 37]",3.540666727542474,0.5,default,127,3,34,0,"{0: 2, 2: 2, 3: 2}",2,1.0,0.87,0.0,0.128,0.5793607604792965
"[8, 11, 12, 23, 34, 38]",3.503587638871799,0.5,default,126,4,30,1,"{0: 1, 1: 2, 2: 1, 3: 2}",2,1.0,0.83,0.0,0.064,0.5793607604792965
"[1, 8, 27, 31, 36, 39]",2.9910464861011152,0.5,default,142,2,38,2,"{0: 2, 2: 1, 3: 3}",1,1.0,0.83,0.0,0.096,0.5793607604792965
"[13, 20, 21, 30, 31, 35]",3.503587638871799,0.5,default,150,2,22,0,"{1: 2, 2: 2, 3: 2}",2,1.0,0.87,0.0,0.064,0.5793607604792965
"[2, 4, 15, 19, 30, 34]",3.629888284656286,0.5,default,104,4,32,0,"{0: 2, 1: 2, 2: 1, 3: 1}",2,1.0,0.87,0.0,0.032,0.5793607604792965
"[2, 7, 11, 14, 26, 37]",2.789042700947334,0.5,default,97,3,35,0,"{0: 2, 1: 2, 2: 1, 3: 1}",4,1.0,0.83,0.0,0.064,0.5793607604792965
"[2, 5, 12, 21, 36, 37]",3.8898281458579973,0.5,default,113,3,35,1,"{0: 2, 1: 1, 2: 1, 3: 2}",3,1.0,0.83,0.0,0.064,0.5793607604792965
"[8, 9, 14, 23, 25, 40]",3.3884879677899127,0.5,default,119,3,32,2,"{0: 2, 1: 1, 2: 2, 3: 1}",1,1.0,0.83,0.0,0.032,0.5793607604792965
