combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,rare_bonus,arima_score
"[4, 9, 16, 19, 22, 40]",3.451990200699923,0.5,default,110,4,36,1,"{0: 2, 1: 2, 2: 1, 3: 1}",1,1.0,0.83,0.0,0.0,0.5934653640171786
"[3, 4, 7, 12, 22, 40]",3.1651486080916196,0.5,default,88,4,37,2,"{0: 3, 1: 1, 2: 1, 3: 1}",2,1.0,0.7899999999999999,0.0,0.0,0.5934653640171786
"[3, 5, 7, 11, 13, 40]",2.9673268200858938,0.5,default,79,1,37,2,"{0: 3, 1: 2, 3: 1}",5,1.0,0.69,0.0,0.0,0.5934653640171786
"[3, 12, 17, 22, 23, 40]",3.649811988705649,0.5,default,117,3,37,2,"{0: 1, 1: 2, 2: 2, 3: 1}",3,1.0,0.83,0.0,0.0,0.5934653640171786
"[3, 6, 19, 23, 25, 40]",3.6688028803541988,0.5,default,116,2,37,1,"{0: 2, 1: 1, 2: 2, 3: 1}",3,1.0,0.83,0.0,0.032,0.5934653640171786
"[12, 16, 17, 22, 38, 40]",3.6193474333527673,0.5,default,145,5,28,2,"{1: 3, 2: 1, 3: 2}",1,1.0,0.83,0.0,0.032,0.5934653640171786
"[1, 3, 9, 20, 22, 26]",3.066237714088757,0.5,default,81,3,25,1,"{0: 3, 1: 1, 2: 2}",1,1.0,0.79,0.0,0.0,0.5934653640171786
"[1, 4, 15, 16, 19, 22]",2.472772350071578,0.5,default,77,3,21,1,"{0: 2, 1: 3, 2: 1}",1,1.0,0.77,0.0,0.0,0.5934653640171786
"[11, 16, 18, 20, 21, 22]",1.9089802542552579,0.5,default,108,4,11,0,"{1: 4, 2: 2}",1,1.0,0.75,0.0,0.0,0.5934653640171786
"[1, 3, 15, 20, 23, 24]",3.1841394997401693,0.5,default,86,2,23,1,"{0: 2, 1: 2, 2: 2}",2,1.0,0.87,0.0,0.032,0.5934653640171786
"[1, 3, 4, 9, 12, 17]",1.622138661646955,0.5,default,46,2,16,2,"{0: 4, 1: 2}",2,1.0,0.61,0.0,0.0,0.5934653640171786
"[3, 8, 11, 18, 22, 27]",3.016782267087325,0.5,default,89,3,24,1,"{0: 2, 1: 2, 2: 2}",2,1.0,0.83,0.0,0.0,0.5934653640171786
"[3, 9, 17, 22, 24, 28]",3.5698919863513354,0.5,default,103,3,25,0,"{0: 2, 1: 1, 2: 3}",2,1.0,0.87,0.0,0.032,0.5934653640171786
"[5, 12, 18, 19, 26, 29]",3.649811988705649,0.5,default,109,3,24,1,"{0: 1, 1: 3, 2: 2}",3,1.0,0.83,0.0,0.0,0.5934653640171786
