combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[4, 8, 9, 20, 23, 29]",4.996060606060606,0.5,transformer_fallback,93,3,25,0,"{0: 3, 1: 1, 2: 2}",2,0.7818181818181819,0.8500000000000001,0.0,1.0
"[10, 11, 14, 36, 37, 39]",6.122787878787879,0.5,transformer_fallback,147,3,29,0,"{0: 1, 1: 2, 3: 3}",2,0.7236363636363636,1.0,0.0,1.0
"[1, 12, 13, 35, 39, 40]",4.972121212121213,0.5,transformer_fallback,140,2,39,0,"{0: 1, 1: 2, 3: 3}",1,0.7636363636363637,1.1,0.0,1.0
"[3, 11, 16, 28, 33, 37]",6.0467272727272725,0.5,transformer_fallback,128,2,34,0,"{0: 1, 1: 2, 2: 1, 3: 2}",3,0.7418181818181818,1.05,0.0,1.0
"[7, 14, 20, 32, 33, 40]",5.707575757575758,0.5,transformer_fallback,146,4,33,0,"{0: 1, 1: 2, 3: 3}",1,0.7272727272727273,1.1,0.0,1.0
