combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[13, 17, 18, 20, 25, 40]",3.108191137572453,0.5,lstm,133,3,27,2,"{1: 4, 2: 1, 3: 1}",2,0.63006253006253,0.83,0.0,0.593692147229648
"[13, 16, 18, 20, 25, 40]",2.989275657077326,0.5,lstm,132,4,27,2,"{1: 4, 2: 1, 3: 1}",1,0.545983645983646,0.83,0.0,0.593692147229648
"[13, 16, 19, 20, 25, 40]",3.075168261234966,0.5,lstm,133,3,27,2,"{1: 4, 2: 1, 3: 1}",2,0.491005291005291,0.83,0.0,0.593692147229648
"[12, 15, 19, 21, 24, 40]",3.3518876284829093,0.5,lstm,131,3,28,1,"{1: 3, 2: 2, 3: 1}",1,0.5729196729196728,0.83,0.0,0.593692147229648
"[12, 16, 19, 21, 24, 40]",3.3375750501187196,0.5,lstm,132,4,28,1,"{1: 3, 2: 2, 3: 1}",1,0.5126503126503127,0.83,0.0,0.593692147229648
"[13, 15, 19, 21, 24, 40]",3.433645233943153,0.5,lstm,132,2,27,1,"{1: 3, 2: 2, 3: 1}",2,0.5005291005291006,0.83,0.0,0.593692147229648
"[13, 16, 19, 21, 24, 40]",3.415677408111653,0.5,lstm,133,3,27,1,"{1: 3, 2: 2, 3: 1}",2,0.42486772486772484,0.83,0.0,0.593692147229648
"[13, 16, 20, 22, 24, 40]",3.3368325779769217,0.5,lstm,135,5,27,1,"{1: 3, 2: 2, 3: 1}",1,0.5095238095238096,0.83,0.0,0.593692147229648
"[13, 16, 19, 22, 24, 40]",3.4257293386467578,0.5,lstm,134,4,27,1,"{1: 3, 2: 2, 3: 1}",2,0.46719576719576716,0.83,0.0,0.593692147229648
