combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,rare_bonus,arima_score
"[1, 9, 19, 20, 21, 40]",2.858524836682744,0.5,default,110,2,39,2,"{0: 2, 1: 2, 2: 1, 3: 1}",1,1.0,0.83,0.0,0.0,0.5934653640171786
"[1, 3, 13, 19, 20, 40]",2.136475310461843,0.5,default,96,2,39,3,"{0: 2, 1: 3, 3: 1}",3,1.0,0.83,0.0,0.0,0.5934653640171786
"[2, 12, 20, 26, 27, 40]",2.324406009067283,0.5,default,127,5,38,3,"{0: 1, 1: 2, 2: 2, 3: 1}",1,1.0,0.83,0.0,0.0,0.5934653640171786
"[8, 10, 12, 15, 20, 40]",2.818960479081599,0.5,default,105,5,32,3,"{0: 2, 1: 3, 3: 1}",0,1.0,0.83,0.0,0.0,0.5934653640171786
"[2, 19, 21, 29, 35, 40]",3.07533751633702,0.5,default,146,2,38,1,"{0: 1, 1: 1, 2: 2, 3: 2}",3,1.0,0.83,0.0,0.032,0.5934653640171786
"[9, 10, 18, 20, 38, 40]",3.520436539349904,0.5,default,135,5,31,2,"{0: 2, 1: 2, 3: 2}",0,1.0,0.83,0.0,0.032,0.5934653640171786
"[12, 14, 25, 28, 32, 40]",2.8569422623786984,0.5,default,151,5,28,2,"{1: 2, 2: 2, 3: 2}",0,1.0,0.83,0.0,0.064,0.5934653640171786
"[19, 20, 26, 36, 38, 40]",2.5107541333686774,0.5,default,179,5,21,1,"{1: 2, 2: 1, 3: 3}",1,1.0,0.73,0.0,0.064,0.5934653640171786
"[9, 13, 30, 34, 39, 40]",3.1042194973858566,0.5,default,165,3,31,2,"{0: 1, 1: 1, 2: 1, 3: 3}",1,1.0,0.73,0.0,0.064,0.5934653640171786
"[1, 4, 32, 33, 36, 40]",2.1637747172066333,0.5,default,146,4,39,2,"{0: 2, 3: 4}",0,1.0,0.83,0.0,0.096,0.5934653640171786
"[1, 2, 9, 12, 22, 26]",3.066237714088757,0.5,default,72,4,25,2,"{0: 3, 1: 1, 2: 2}",1,1.0,0.69,0.0,0.0,0.5934653640171786
"[6, 9, 15, 19, 20, 25]",2.343396900715833,0.5,default,94,2,19,0,"{0: 2, 1: 3, 2: 1}",1,1.0,0.87,0.0,0.032,0.5934653640171786
"[1, 2, 11, 20, 23, 24]",3.2830503937430326,0.5,default,81,3,23,1,"{0: 2, 1: 2, 2: 2}",3,1.0,0.83,0.0,0.032,0.5934653640171786
"[2, 9, 10, 15, 17, 18]",1.8298515390529675,0.5,default,71,3,16,1,"{0: 3, 1: 3}",2,1.0,0.65,0.0,0.0,0.5934653640171786
"[5, 10, 12, 15, 19, 30]",3.016782267087325,0.5,default,91,3,25,2,"{0: 2, 1: 3, 2: 1}",2,1.0,0.83,0.0,0.0,0.5934653640171786
"[1, 5, 10, 12, 21, 23]",2.631029780476159,0.5,default,72,2,22,3,"{0: 3, 1: 1, 2: 2}",2,1.0,0.69,0.0,0.0,0.5934653640171786
"[2, 15, 18, 20, 25, 32]",3.4709810923484725,0.5,default,112,4,30,0,"{0: 1, 1: 3, 2: 1, 3: 1}",1,1.0,0.87,0.0,0.032,0.5934653640171786
"[3, 12, 13, 20, 30, 34]",3.5698919863513354,0.5,default,112,4,31,2,"{0: 1, 1: 3, 2: 1, 3: 1}",2,1.0,0.83,0.0,0.032,0.5934653640171786
"[5, 8, 16, 21, 23, 32]",3.5698919863513354,0.5,default,105,3,27,0,"{0: 2, 1: 1, 2: 2, 3: 1}",2,1.0,0.87,0.0,0.032,0.5934653640171786
"[7, 11, 12, 19, 27, 30]",3.649811988705649,0.5,default,106,2,23,2,"{0: 1, 1: 3, 2: 2}",3,1.0,0.83,0.0,0.0,0.5934653640171786
"[3, 14, 18, 22, 29, 30]",3.5698919863513354,0.5,default,116,4,27,0,"{0: 1, 1: 2, 2: 3}",2,1.0,0.87,0.0,0.032,0.5934653640171786
"[2, 6, 13, 19, 26, 32]",3.153674944387288,0.5,default,98,4,30,1,"{0: 2, 1: 2, 2: 1, 3: 1}",3,1.0,0.87,0.0,0.064,0.5934653640171786
"[4, 13, 19, 27, 30, 31]",3.6688028803541988,0.5,default,124,2,27,2,"{0: 1, 1: 2, 2: 2, 3: 1}",3,1.0,0.87,0.0,0.032,0.5934653640171786
"[1, 6, 7, 13, 18, 24]",3.0547640503844247,0.5,default,69,3,23,2,"{0: 3, 1: 2, 2: 1}",2,1.0,0.77,0.0,0.064,0.5934653640171786
"[13, 17, 25, 26, 27, 30]",2.007891148258121,0.5,default,138,2,17,2,"{1: 2, 2: 4}",2,1.0,0.87,0.0,0.0,0.5934653640171786
