combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,rare_bonus,arima_score
"[15, 17, 19, 21, 23, 40]",4.409551928087898,0.5752725490196078,lstm_v2,135,1,25,1,"{1: 3, 2: 2, 3: 1}",3,0.8769648192183404,0.75,0.0,0.0,0.5793607604792965
"[16, 18, 19, 21, 24, 40]",4.190556460512089,0.6027956862745099,lstm_v2,138,4,24,1,"{1: 3, 2: 2, 3: 1}",1,0.8737942808365343,0.83,0.0,0.032,0.5793607604792965
"[14, 16, 20, 21, 23, 40]",4.191005967961341,0.5976537254901961,lstm_v2,134,4,26,1,"{1: 3, 2: 2, 3: 1}",1,0.8784311932199256,0.83,0.0,0.032,0.5793607604792965
"[14, 15, 20, 21, 22, 40]",4.057671576179558,0.5130227450980394,lstm_v2,132,4,26,2,"{1: 3, 2: 2, 3: 1}",0,0.885595390524968,0.83,0.0,0.032,0.5793607604792965
"[15, 17, 19, 20, 24, 40]",3.8932129562729076,0.6937792156862745,lstm_v2,135,3,25,1,"{1: 4, 2: 1, 3: 1}",2,0.8760837753795501,0.83,0.0,0.032,0.5793607604792965
"[2, 13, 15, 21, 22, 40]",3.5733017501034245,0.5953317647058823,lstm_v2,113,3,38,2,"{0: 1, 1: 2, 2: 2, 3: 1}",2,0.8947930004268032,0.83,0.0,0.0,0.5793607604792965
"[8, 12, 15, 21, 22, 40]",3.396779491342605,0.5320925490196079,lstm_v2,118,4,32,3,"{0: 1, 1: 2, 2: 2, 3: 1}",0,0.9067008109261631,0.83,0.0,0.0,0.5793607604792965
"[15, 17, 19, 21, 24, 40]",4.319116271925892,0.641664705882353,lstm_v2,136,2,25,1,"{1: 3, 2: 2, 3: 1}",2,0.8776050240838973,0.83,0.0,0.032,0.5793607604792965
"[15, 17, 20, 21, 23, 40]",4.2908325600947315,0.6011447058823529,lstm_v2,136,2,25,1,"{1: 3, 2: 2, 3: 1}",2,0.8682793732089507,0.83,0.0,0.0,0.5793607604792965
"[15, 16, 20, 21, 23, 40]",4.173270115423801,0.6247458823529412,lstm_v2,135,3,25,1,"{1: 3, 2: 2, 3: 1}",1,0.8649503079080544,0.83,0.0,0.0,0.5793607604792965
"[6, 9, 13, 21, 24, 28]",3.717679123924112,0.5449765490196078,montecarlo,101,3,22,0,"{0: 2, 1: 1, 2: 3}",1,0.9000853606487409,0.87,0.0,0.064,0.5793607604792965
"[5, 6, 29, 32, 35, 37]",3.9542844689285195,0.45757662745098043,montecarlo,144,2,32,2,"{0: 2, 2: 1, 3: 3}",3,0.9090482287665387,0.87,0.0,0.128,0.5793607604792965
"[1, 18, 22, 28, 29, 30]",3.277431859231678,0.43149611764705886,montecarlo,128,4,29,2,"{0: 1, 1: 1, 2: 4}",1,0.8959026888604353,0.87,0.0,0.0,0.5793607604792965
"[11, 16, 19, 21, 32, 40]",3.8234660911019764,0.659001843137255,montecarlo,139,3,29,1,"{1: 3, 2: 1, 3: 2}",2,0.8933845497225779,0.83,0.0,0.032,0.5793607604792965
"[1, 5, 18, 21, 25, 29]",3.330602652000612,0.4092122352941177,montecarlo,99,1,28,2,"{0: 2, 1: 1, 2: 3}",2,0.8848271446862996,0.87,0.0,0.0,0.5793607604792965
"[4, 9, 13, 20, 26, 28]",3.674888925836932,0.5104277254901961,montecarlo,100,4,24,0,"{0: 2, 1: 2, 2: 2}",1,0.9012377294067435,0.87,0.0,0.0,0.5793607604792965
"[3, 5, 18, 21, 25, 30]",3.9180364159086767,0.4792593725490196,montecarlo,102,2,27,1,"{0: 2, 1: 1, 2: 3}",2,0.8914639351259069,0.87,0.0,0.0,0.5793607604792965
"[8, 16, 20, 23, 26, 33]",3.6958413402194465,0.5421504705882353,montecarlo,126,4,25,1,"{0: 1, 1: 2, 2: 2, 3: 1}",1,0.8890738369611609,0.87,0.0,0.032,0.5793607604792965
"[5, 13, 21, 22, 31, 32]",3.911932612344715,0.4264261568627451,montecarlo,124,2,27,2,"{0: 1, 1: 1, 2: 2, 3: 2}",3,0.9096030729833546,0.87,0.0,0.064,0.5793607604792965
"[7, 22, 23, 27, 29, 37]",2.61304875332653,0.39265145098039217,montecarlo,145,1,30,3,"{0: 1, 2: 4, 3: 1}",4,0.9100725565514298,0.87,0.0,0.032,0.5793607604792965
"[4, 8, 13, 18, 26, 37]",3.8015525053458123,0.5178366666666667,montecarlo,106,4,33,1,"{0: 2, 1: 2, 2: 1, 3: 1}",2,0.90367050789586,0.87,0.0,0.032,0.5793607604792965
"[2, 6, 16, 24, 25, 26]",3.1050674457510663,0.32903623529411763,montecarlo,99,5,24,0,"{0: 2, 1: 1, 2: 3}",1,0.8941527955612463,0.87,0.0,0.064,0.5793607604792965
"[1, 4, 16, 22, 39, 40]",3.2330402064984005,0.4648851764705883,montecarlo,122,4,39,2,"{0: 2, 1: 1, 2: 1, 3: 2}",0,0.9065727699530517,0.83,0.0,0.032,0.5793607604792965
"[4, 9, 13, 22, 23, 29]",3.8772734434904703,0.43734439215686277,montecarlo,100,2,25,2,"{0: 2, 1: 1, 2: 3}",3,0.911651728553137,0.87,0.0,0.0,0.5793607604792965
"[2, 6, 26, 27, 35, 37]",3.8383370155498184,0.5109149019607844,montecarlo,133,3,35,1,"{0: 2, 2: 2, 3: 2}",2,0.9072343149807939,0.87,0.0,0.096,0.5793607604792965
"[2, 8, 16, 21, 26, 27]",3.6606309287856305,0.4372523921568628,montecarlo,100,4,25,2,"{0: 2, 1: 1, 2: 3}",1,0.8951984635083227,0.87,0.0,0.0,0.5793607604792965
"[2, 6, 20, 27, 34, 37]",3.8379020522588774,0.508913137254902,montecarlo,126,4,35,1,"{0: 2, 1: 1, 2: 1, 3: 2}",2,0.9068928723858302,0.87,0.0,0.096,0.5793607604792965
"[4, 5, 13, 16, 17, 32]",3.478020309663666,0.5142763529411765,montecarlo,87,3,28,1,"{0: 2, 1: 3, 3: 1}",3,0.9020913358941528,0.87,0.0,0.032,0.5793607604792965
"[7, 8, 17, 22, 32, 37]",3.9316118582400446,0.5318253333333334,montecarlo,123,3,30,2,"{0: 2, 1: 1, 2: 1, 3: 2}",3,0.9149381135296628,0.87,0.0,0.064,0.5793607604792965
"[1, 7, 18, 27, 28, 37]",3.7905313116791963,0.45930921568627453,montecarlo,118,2,36,1,"{0: 2, 1: 1, 2: 2, 3: 1}",2,0.9003414425949637,0.87,0.0,0.032,0.5793607604792965
"[4, 9, 16, 25, 27, 36]",3.5983040635822725,0.5644783921568627,montecarlo,117,3,32,1,"{0: 2, 1: 1, 2: 2, 3: 1}",0,0.9078958600085361,0.87,0.0,0.032,0.5793607604792965
"[11, 13, 16, 21, 29, 40]",3.8982965374217584,0.5816177647058824,montecarlo,130,2,29,2,"{1: 3, 2: 2, 3: 1}",3,0.8957533077251387,0.83,0.0,0.0,0.5793607604792965
"[8, 18, 21, 25, 26, 27]",2.542780586179277,0.4945943137254902,montecarlo,125,3,19,2,"{0: 1, 1: 1, 2: 4}",0,0.8876440460947503,0.87,0.0,0.0,0.5793607604792965
"[1, 9, 13, 24, 29, 38]",3.818163847278157,0.4942232549019608,montecarlo,114,2,37,1,"{0: 2, 1: 1, 2: 2, 3: 1}",2,0.9122065727699531,0.83,0.0,0.064,0.5793607604792965
"[1, 7, 9, 21, 26, 34]",3.1093796104192912,0.44117007843137257,montecarlo,98,2,33,0,"{0: 3, 2: 2, 3: 1}",1,0.90734101579172,0.87,0.0,0.032,0.5793607604792965
"[2, 3, 6, 7, 28, 35]",3.35558997551651,0.4035294117647059,transformer_deep,81,3,33,0,"{0: 4, 2: 1, 3: 1}",3,0.9100512163892446,0.83,0.0,0.064,0.5793607604792965
"[2, 6, 13, 14, 15, 33]",3.548043282679618,0.5059803921568627,transformer_deep,83,3,31,0,"{0: 2, 1: 3, 3: 1}",2,0.908898847631242,0.83,0.0,0.096,0.5793607604792965
"[1, 15, 18, 27, 29, 35]",4.008280912250307,0.47078431372549023,transformer_deep,125,1,34,2,"{0: 1, 1: 2, 2: 2, 3: 1}",1,0.885872812633376,0.87,0.0,0.032,0.5793607604792965
