combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[10, 17, 28, 37, 38, 40]",6.790931868004119,0.6092647058823529,clustering,170,4,30,0,"{0: 1, 1: 1, 2: 1, 3: 3}",2,0.8938829286655373,0.9,0.0,1.0
"[5, 11, 23, 36, 37, 40]",6.351597488402476,0.5872058823529412,clustering,152,2,35,0,"{0: 1, 1: 1, 2: 1, 3: 3}",4,0.8950686994165256,0.9500000000000001,0.0,1.0
"[6, 8, 12, 13, 17, 40]",6.534254500614476,0.5852450980392158,clustering,96,4,34,0,"{0: 2, 1: 3, 3: 1}",2,0.8948993035949557,0.9,0.0,1.0
"[4, 5, 10, 20, 21, 40]",6.8466025592054995,0.4834803921568628,genetico,100,4,36,0,"{0: 3, 1: 1, 2: 1, 3: 1}",1,0.8584603801995107,1.1,0.0,1.0
"[9, 19, 20, 21, 28, 40]",6.624764560369601,0.6288235294117647,genetico,137,3,31,0,"{0: 1, 1: 2, 2: 2, 3: 1}",1,0.8248931193030572,1.05,0.0,1.0
"[5, 9, 12, 20, 32, 40]",6.6433587344028515,0.6188725490196079,genetico,118,4,35,0,"{0: 2, 1: 2, 3: 2}",1,0.8718050065876153,1.1,0.0,1.0
"[5, 8, 9, 13, 33, 39]",6.495498652441846,0.3789361568627451,montecarlo,107,1,34,0,"{0: 3, 1: 1, 3: 2}",2,0.9207980425371729,1.0,0.0,1.0
"[3, 6, 24, 29, 31, 34]",6.727158011837779,0.5434459607843138,montecarlo,127,3,31,0,"{0: 2, 2: 2, 3: 2}",3,0.918464144551101,1.1,0.0,1.0
"[7, 10, 24, 26, 32, 38]",6.326735103544028,0.4223675294117647,montecarlo,137,5,31,0,"{0: 2, 2: 2, 3: 2}",1,0.9242988895162808,1.0,0.0,1.0
"[5, 8, 12, 29, 31, 35]",6.148435455209752,0.5879901960784314,transformer_fallback,120,2,30,0,"{0: 2, 1: 1, 2: 1, 3: 2}",3,0.9300959909655562,1.1,0.0,1.0
"[3, 11, 20, 22, 27, 30]",5.992180389942538,0.6794117647058823,transformer_fallback,113,3,27,0,"{0: 1, 1: 2, 2: 3}",2,0.8875588179936006,1.1,0.0,1.0
"[1, 9, 18, 26, 30, 31]",5.815210809224876,0.6085294117647059,transformer_fallback,115,3,30,0,"{0: 2, 1: 1, 2: 2, 3: 1}",1,0.9149632975719932,1.05,0.0,1.0
"[15, 19, 20, 21, 23, 40]",5.915745904290569,0.4967156862745098,lstm,138,2,25,0,"{1: 3, 2: 2, 3: 1}",2,0.8334946626872093,1.05,0.0,1.0
"[20, 21, 22, 24, 33, 40]",3.675774125065046,0.45700980392156865,lstm,160,4,20,0,"{1: 1, 2: 3, 3: 2}",0,0.846677959721438,0.9500000000000001,0.0,1.0
"[20, 22, 23, 24, 37, 40]",4.268309657064407,0.4643627450980392,lstm,166,4,20,0,"{1: 1, 2: 3, 3: 2}",2,0.8641687505041542,0.9000000000000001,0.0,1.0
"[2, 8, 18, 20, 21, 40]",5.876432368995029,0.40117647058823536,lstm_v2,109,5,38,0,"{0: 2, 1: 2, 2: 1, 3: 1}",1,0.8454921889704499,0.95,0.0,1.0
"[9, 15, 16, 20, 21, 40]",6.959259153463757,0.5425490196078432,lstm_v2,121,3,31,0,"{0: 1, 1: 3, 2: 1, 3: 1}",0,0.8429888951628082,1.05,0.0,1.0
"[7, 20, 21, 22, 38, 40]",7.383340527119938,0.44230392156862747,lstm_v2,148,4,33,0,"{0: 1, 1: 1, 2: 2, 3: 2}",1,0.8346320346320346,1.1,0.0,1.0
"[6, 20, 21, 22, 31, 40]",7.133683747412007,0.4325,lstm_v2,140,4,34,0,"{0: 1, 1: 1, 2: 2, 3: 2}",1,0.8412008281573499,1.1,0.0,1.0
"[2, 3, 6, 20, 21, 40]",5.199492363348502,0.3736764705882353,lstm_v2,92,4,38,0,"{0: 3, 1: 1, 2: 1, 3: 1}",2,0.8414455110107284,0.9,0.0,1.0
"[14, 15, 20, 21, 35, 40]",6.973729210261179,0.5719607843137254,lstm_v2,145,3,26,0,"{1: 3, 2: 1, 3: 2}",0,0.8542819499341239,1.05,0.0,1.0
"[2, 13, 20, 21, 38, 40]",6.366676622823041,0.4984803921568628,lstm_v2,134,4,38,0,"{0: 1, 1: 2, 2: 1, 3: 2}",2,0.8509316770186336,1.1,0.0,1.0
"[15, 20, 21, 29, 37, 40]",6.503730574838631,0.5327941176470589,lstm_v2,162,2,25,0,"{1: 2, 2: 2, 3: 2}",2,0.8544513457556936,0.9,0.0,1.0
"[18, 19, 20, 21, 32, 40]",7.1394716965837715,0.471421568627451,lstm_v2,150,4,22,0,"{1: 3, 2: 1, 3: 2}",1,0.8294237853244064,1.05,0.0,1.0
"[1, 11, 19, 20, 21, 40]",6.096368172960883,0.4648529411764706,lstm_v2,112,2,39,0,"{0: 1, 1: 3, 2: 1, 3: 1}",2,0.8304912478825522,1.05,0.0,1.0
"[19, 20, 21, 25, 31, 40]",4.979636547504378,0.48544117647058826,lstm_v2,156,2,21,0,"{1: 2, 2: 2, 3: 2}",2,0.8346750557930682,0.9,0.0,1.0
"[10, 18, 19, 20, 21, 40]",7.131731663811769,0.4444607843137256,lstm_v2,128,4,30,0,"{0: 1, 1: 3, 2: 1, 3: 1}",1,0.8301201903686376,1.05,0.0,1.0
"[14, 19, 20, 21, 25, 40]",7.169083893636505,0.5646078431372549,lstm_v2,139,3,26,0,"{1: 3, 2: 2, 3: 1}",1,0.8327364147239924,1.05,0.0,1.0
"[6, 7, 19, 20, 21, 40]",7.339558492171572,0.45941176470588235,lstm_v2,113,3,34,0,"{0: 2, 1: 2, 2: 1, 3: 1}",2,0.8201365921862817,1.05,0.0,1.0
"[7, 19, 20, 21, 28, 40]",7.360879552611557,0.5263725490196078,lstm_v2,135,3,33,0,"{0: 1, 1: 2, 2: 2, 3: 1}",2,0.8226022424780188,1.05,0.0,1.0
"[17, 19, 20, 21, 26, 40]",7.3800144318597,0.5695098039215686,lstm_v2,143,3,23,0,"{1: 3, 2: 2, 3: 1}",2,0.8349896480331263,1.05,0.0,1.0
"[3, 19, 20, 21, 33, 40]",7.344159194507842,0.4609313725490196,lstm_v2,136,2,37,0,"{0: 1, 1: 2, 2: 1, 3: 2}",2,0.8284262321529402,1.05,0.0,1.0
"[8, 19, 20, 21, 38, 40]",7.390948918302499,0.47318627450980394,lstm_v2,146,4,32,0,"{0: 1, 1: 2, 2: 1, 3: 2}",1,0.8313194052324487,1.05,0.0,1.0
"[6, 19, 20, 21, 28, 40]",7.133602303767356,0.45848039215686276,lstm_v2,134,4,34,0,"{0: 1, 1: 2, 2: 2, 3: 1}",1,0.8254497055739292,1.05,0.0,1.0
"[19, 20, 21, 22, 39, 40]",5.014991251836703,0.47823529411764704,lstm_v2,161,3,21,0,"{1: 2, 2: 2, 3: 2}",1,0.8263746605361512,0.8,0.0,1.0
"[13, 19, 20, 21, 27, 40]",7.35946673254282,0.49916666666666665,lstm_v2,140,2,27,0,"{1: 3, 2: 2, 3: 1}",2,0.8361001317523057,1.05,0.0,1.0
"[3, 5, 19, 20, 21, 40]",7.789977442755759,0.42661764705882355,lstm_v2,108,2,37,0,"{0: 2, 1: 2, 2: 1, 3: 1}",3,0.8239842972762228,1.05,0.0,1.0
"[15, 19, 20, 21, 22, 40]",7.150980365268637,0.5221568627450981,lstm_v2,137,3,25,0,"{1: 3, 2: 2, 3: 1}",1,0.8219999462235488,1.05,0.0,1.0
"[6, 15, 19, 20, 21, 40]",7.159905143084902,0.5425490196078432,lstm_v2,121,3,34,0,"{0: 1, 1: 3, 2: 1, 3: 1}",1,0.8276142077384314,1.05,0.0,1.0
"[3, 7, 15, 24, 30, 39]",6.528362645865302,0.4990832156862745,montecarlo,118,2,36,0,"{0: 2, 1: 1, 2: 2, 3: 1}",2,0.913570487483531,1.05,0.0,1.0
"[6, 10, 16, 20, 24, 40]",5.340082838290098,0.3966322352941176,montecarlo,116,6,34,0,"{0: 2, 1: 2, 2: 1, 3: 1}",0,0.866120835686053,0.95,0.0,1.0
"[1, 3, 13, 18, 20, 21]",4.663985651589332,0.47427929411764713,montecarlo,76,2,20,0,"{0: 2, 1: 3, 2: 1}",2,0.8750799924712969,0.9,0.0,1.0
"[2, 14, 16, 18, 28, 33]",6.342919551236147,0.49050478431372546,montecarlo,111,5,31,0,"{0: 1, 1: 3, 2: 1, 3: 1}",1,0.9146245059288538,0.95,0.0,1.0
"[7, 8, 10, 12, 19, 30]",5.521782204993302,0.4532008627450981,montecarlo,86,4,23,0,"{0: 3, 1: 2, 2: 1}",2,0.9071710897797854,0.85,0.0,1.0
"[4, 5, 8, 17, 26, 29]",5.975593220703934,0.4902106666666667,montecarlo,89,3,25,0,"{0: 3, 1: 1, 2: 2}",3,0.9284773197816676,0.9,0.0,1.0
"[2, 8, 18, 24, 26, 31]",6.509244298526367,0.42138713725490196,montecarlo,109,5,29,0,"{0: 2, 1: 1, 2: 2, 3: 1}",2,0.9230942970073405,0.95,0.0,1.0
"[13, 28, 31, 36, 38, 40]",5.146886455389113,0.5824165490196079,montecarlo,186,4,27,0,"{1: 1, 2: 1, 3: 4}",2,0.8988518727649162,0.9,0.0,1.0
"[10, 19, 24, 27, 30, 37]",6.559488178687127,0.6012890980392157,montecarlo,147,3,27,0,"{0: 1, 1: 1, 2: 3, 3: 1}",2,0.9146245059288538,1.05,0.0,1.0
