combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,rare_bonus,arima_score
"[2, 8, 18, 20, 21, 40]",2.76475217093977,0.5,lstm,109,5,38,1,"{0: 2, 1: 2, 2: 1, 3: 1}",1,0.6049783549783552,0.83,0.0,0.0,0.5934653640171786
"[9, 15, 16, 20, 21, 40]",3.2602058308995656,0.5,lstm,121,3,31,1,"{0: 1, 1: 3, 2: 1, 3: 1}",0,0.6087662337662338,0.83,0.0,0.0,0.5934653640171786
"[6, 7, 20, 21, 37, 40]",3.6416781733702446,0.5,lstm,131,3,34,1,"{0: 2, 1: 1, 2: 1, 3: 2}",2,0.5974025974025976,0.83,0.0,0.064,0.5934653640171786
"[2, 3, 20, 21, 30, 40]",3.0149838871963635,0.5,lstm,116,4,38,1,"{0: 2, 1: 1, 2: 2, 3: 1}",2,0.6174242424242425,0.83,0.0,0.0,0.5934653640171786
"[6, 14, 15, 20, 21, 40]",3.294590854414743,0.5,lstm,116,4,34,1,"{0: 1, 1: 3, 2: 1, 3: 1}",0,0.5936147186147188,0.83,0.0,0.064,0.5934653640171786
"[2, 20, 21, 35, 38, 40]",2.419036758929659,0.5,lstm,156,4,38,1,"{0: 1, 1: 1, 2: 1, 3: 3}",1,0.6136363636363636,0.83,0.0,0.064,0.5934653640171786
"[13, 20, 21, 29, 37, 40]",3.1940305891404557,0.5,lstm,160,2,27,2,"{1: 2, 2: 2, 3: 2}",3,0.625,0.83,0.0,0.032,0.5934653640171786
"[15, 18, 20, 21, 31, 40]",3.376309236660018,0.5,lstm,145,3,25,1,"{1: 3, 2: 1, 3: 2}",1,0.6011904761904763,0.83,0.0,0.032,0.5934653640171786
"[1, 11, 20, 21, 30, 40]",2.765394449472256,0.5,lstm,123,3,39,2,"{0: 1, 1: 2, 2: 2, 3: 1}",1,0.6076839826839828,0.83,0.0,0.0,0.5934653640171786
"[10, 18, 20, 21, 24, 40]",3.28035282390659,0.5,lstm,133,5,30,2,"{0: 1, 1: 2, 2: 2, 3: 1}",0,0.6136363636363638,0.83,0.0,0.032,0.5934653640171786
"[7, 14, 20, 21, 24, 40]",3.3991537995034844,0.5,lstm,126,4,33,1,"{0: 1, 1: 2, 2: 2, 3: 1}",1,0.6174242424242424,0.83,0.0,0.064,0.5934653640171786
"[6, 7, 20, 21, 27, 40]",3.375795413834029,0.5,lstm,121,3,34,2,"{0: 2, 1: 1, 2: 2, 3: 1}",1,0.5990259740259741,0.83,0.0,0.032,0.5934653640171786
"[3, 17, 20, 21, 25, 40]",3.460982100154728,0.5,lstm,126,2,37,1,"{0: 1, 1: 2, 2: 2, 3: 1}",2,0.6212121212121213,0.83,0.0,0.0,0.5934653640171786
"[8, 20, 21, 32, 37, 40]",3.0086484517519207,0.5,lstm,158,4,32,1,"{0: 1, 1: 1, 2: 1, 3: 3}",1,0.5974025974025976,0.83,0.0,0.064,0.5934653640171786
"[6, 20, 21, 27, 38, 40]",2.9106367476945385,0.5,lstm,152,4,34,2,"{0: 1, 1: 1, 2: 2, 3: 2}",0,0.6011904761904763,0.83,0.0,0.064,0.5934653640171786
"[19, 20, 21, 26, 39, 40]",2.4036426270630313,0.5,lstm,165,3,21,1,"{1: 2, 2: 2, 3: 2}",1,0.6287878787878789,0.73,0.0,0.032,0.5934653640171786
"[3, 5, 13, 20, 21, 40]",3.7091585251073664,0.5,lstm,102,2,37,2,"{0: 2, 1: 2, 2: 1, 3: 1}",3,0.625,0.83,0.0,0.0,0.5934653640171786
"[6, 15, 19, 20, 21, 40]",3.3754100467145376,0.5,lstm,121,3,34,1,"{0: 1, 1: 3, 2: 1, 3: 1}",1,0.5974025974025976,0.83,0.0,0.032,0.5934653640171786
"[7, 15, 20, 21, 27, 40]",3.3555199651205068,0.5,lstm,130,2,33,2,"{0: 1, 1: 2, 2: 2, 3: 1}",1,0.5936147186147187,0.83,0.0,0.0,0.5934653640171786
"[18, 20, 21, 26, 32, 40]",2.7426372365092075,0.5,lstm,157,5,22,1,"{1: 2, 2: 2, 3: 2}",0,0.5984848484848486,0.83,0.0,0.032,0.5934653640171786
"[11, 20, 21, 25, 26, 40]",3.3611720162063845,0.5,lstm,143,3,29,1,"{1: 2, 2: 3, 3: 1}",1,0.6174242424242425,0.83,0.0,0.0,0.5934653640171786
"[5, 14, 18, 20, 21, 40]",3.3783645279639734,0.5,lstm,118,4,35,1,"{0: 1, 1: 3, 2: 1, 3: 1}",1,0.609848484848485,0.83,0.0,0.032,0.5934653640171786
"[11, 16, 20, 21, 37, 40]",3.6244856616126557,0.5,lstm,145,3,29,1,"{1: 3, 2: 1, 3: 2}",2,0.6049783549783552,0.83,0.0,0.032,0.5934653640171786
"[11, 20, 21, 27, 32, 40]",2.8410343076860824,0.5,lstm,151,3,29,2,"{1: 2, 2: 2, 3: 2}",1,0.5963203463203464,0.83,0.0,0.032,0.5934653640171786
"[15, 18, 20, 21, 38, 40]",2.8880490962640666,0.5,lstm,152,4,25,1,"{1: 3, 2: 1, 3: 2}",0,0.5860389610389611,0.83,0.0,0.032,0.5934653640171786
"[4, 15, 20, 21, 23, 40]",3.360272826260904,0.5,lstm,123,3,36,1,"{0: 1, 1: 2, 2: 2, 3: 1}",1,0.6136363636363638,0.83,0.0,0.0,0.5934653640171786
"[3, 20, 21, 23, 28, 40]",3.4618812901002087,0.5,lstm,135,3,37,1,"{0: 1, 1: 1, 2: 3, 3: 1}",2,0.625,0.83,0.0,0.0,0.5934653640171786
"[14, 20, 21, 23, 39, 40]",3.0160988827287603,0.5,lstm,157,3,26,1,"{1: 2, 2: 2, 3: 2}",1,0.6287878787878789,0.83,0.0,0.064,0.5934653640171786
"[20, 21, 28, 32, 34, 40]",2.173557903813462,0.5,lstm,175,5,20,1,"{1: 1, 2: 2, 3: 3}",0,0.6212121212121213,0.73,0.0,0.064,0.5934653640171786
"[9, 10, 17, 20, 21, 40]",3.3620712061518656,0.5,lstm,117,3,31,2,"{0: 2, 1: 2, 2: 1, 3: 1}",1,0.6212121212121213,0.83,0.0,0.0,0.5934653640171786
"[16, 20, 21, 37, 38, 40]",3.0113460215883627,0.5,lstm,172,4,24,1,"{1: 2, 2: 1, 3: 3}",1,0.6087662337662338,0.73,0.0,0.064,0.5934653640171786
"[17, 20, 21, 28, 30, 40]",2.8261539986454434,0.5,lstm,156,4,23,1,"{1: 2, 2: 3, 3: 1}",1,0.6136363636363638,0.83,0.0,0.0,0.5934653640171786
"[9, 15, 20, 21, 26, 40]",3.2593066409540854,0.5,lstm,131,3,31,1,"{0: 1, 1: 2, 2: 2, 3: 1}",0,0.6049783549783552,0.83,0.0,0.0,0.5934653640171786
"[6, 20, 21, 34, 35, 40]",2.784215779588229,0.5,lstm,156,4,34,1,"{0: 1, 1: 1, 2: 1, 3: 3}",0,0.6136363636363636,0.83,0.0,0.096,0.5934653640171786
