combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,rare_bonus,arima_score
"[6, 9, 13, 21, 24, 28]",3.614365724587033,0.5,montecarlo,101,3,22,1,"{0: 2, 1: 1, 2: 3}",1,0.7978354978354978,0.87,0.0,0.032,0.5713164843838174
"[7, 9, 18, 19, 23, 34]",3.8345130099029308,0.5,montecarlo,110,2,27,0,"{0: 2, 1: 2, 2: 1, 3: 1}",3,0.8402597402597403,0.87,0.0,0.032,0.5713164843838174
"[1, 18, 22, 28, 30, 31]",3.64527122583751,0.5,montecarlo,130,4,30,1,"{0: 1, 1: 1, 2: 3, 3: 1}",1,0.8480519480519481,0.87,0.0,0.064,0.5713164843838174
"[9, 13, 18, 24, 25, 27]",2.9607796664519457,0.5,montecarlo,116,2,18,2,"{0: 1, 1: 2, 2: 3}",1,0.7705627705627706,0.87,0.0,0.0,0.5713164843838174
"[1, 5, 18, 20, 25, 29]",3.282730108175665,0.5,montecarlo,98,2,28,1,"{0: 2, 1: 2, 2: 2}",2,0.8164502164502165,0.87,0.0,0.0,0.5713164843838174
"[4, 10, 13, 20, 26, 29]",3.7110542381822746,0.5,montecarlo,102,4,25,2,"{0: 2, 1: 2, 2: 2}",2,0.8385281385281386,0.83,0.0,0.0,0.5713164843838174
"[3, 16, 18, 20, 25, 31]",3.7215011681824364,0.5,montecarlo,113,3,28,0,"{0: 1, 1: 3, 2: 1, 3: 1}",2,0.8073593073593073,0.87,0.0,0.032,0.5713164843838174
"[8, 16, 19, 25, 26, 35]",3.625030298962198,0.5,montecarlo,129,3,27,0,"{0: 1, 1: 2, 2: 2, 3: 1}",1,0.8402597402597403,0.87,0.0,0.032,0.5713164843838174
"[9, 15, 21, 23, 26, 32]",3.6230714995871676,0.5,montecarlo,126,2,23,0,"{0: 1, 1: 1, 2: 3, 3: 1}",1,0.8324675324675325,0.87,0.0,0.032,0.5713164843838174
"[1, 13, 14, 15, 17, 24]",2.790690587386821,0.5,montecarlo,84,2,23,2,"{0: 1, 1: 4, 2: 1}",2,0.8545454545454545,0.87,0.0,0.032,0.5713164843838174
"[4, 9, 13, 18, 26, 37]",3.717801213807379,0.5,montecarlo,107,3,33,1,"{0: 2, 1: 2, 2: 1, 3: 1}",2,0.7926406926406927,0.87,0.0,0.032,0.5713164843838174
"[3, 21, 25, 28, 38, 40]",3.199535545830631,0.5,montecarlo,155,3,37,1,"{0: 1, 2: 3, 3: 2}",1,0.8294372294372294,0.83,0.0,0.032,0.5713164843838174
"[4, 15, 19, 21, 22, 25]",2.9714442408271102,0.5,montecarlo,106,2,21,0,"{0: 1, 1: 2, 2: 3}",1,0.8129870129870129,0.87,0.0,0.0,0.5713164843838174
"[13, 16, 21, 25, 28, 34]",2.981020593327258,0.5,montecarlo,137,3,21,1,"{1: 2, 2: 3, 3: 1}",1,0.7783549783549784,0.87,0.0,0.032,0.5713164843838174
