combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[2, 5, 7, 20, 22, 25]",6.240677643306126,0.6068627450980393,genetico,81,3,23,0,"{np.int64(0): 3, np.int64(1): 1, np.int64(2): 2}",3,0.8774322169059011,0.9,0.0,1.0
"[4, 9, 13, 20, 22, 27]",5.618215059386434,0.6556929411764706,genetico,95,3,23,0,"{np.int64(0): 2, np.int64(1): 2, np.int64(2): 2}",1,0.8692185007974482,0.9,0.0,1.0
"[8, 13, 20, 23, 24, 36]",6.520422075128999,0.49976949019607847,montecarlo,124,4,28,0,"{np.int64(0): 1, np.int64(1): 2, np.int64(2): 2, np.int64(3): 1}",2,0.8950558213716109,1.1,0.0,1.0
"[4, 17, 22, 24, 27, 29]",5.884323433918128,0.5718773333333333,montecarlo,123,3,25,0,"{np.int64(0): 1, np.int64(1): 1, np.int64(2): 4}",2,0.9002126528442318,1.05,0.0,1.0
"[13, 15, 24, 25, 28, 38]",5.83936543453107,0.6761764705882353,transformer_fallback,143,3,25,0,"{np.int64(1): 2, np.int64(2): 3, np.int64(3): 1}",1,0.9246145667198299,1.05,0.0,1.0
"[1, 9, 17, 18, 19, 34]",5.057216605560246,0.5453560784313726,transformer_fallback,98,2,33,0,"{np.int64(0): 2, np.int64(1): 3, np.int64(3): 1}",2,0.9006911217437533,0.9,0.0,1.0
"[10, 11, 19, 24, 27, 38]",7.706603171029176,0.5650196078431373,clustering,129,3,28,0,"{np.int64(0): 1, np.int64(1): 2, np.int64(2): 2, np.int64(3): 1}",2,0.9110845295055822,1.05,0.0,1.0
"[2, 6, 14, 24, 34, 39]",7.451784754667417,0.4260980392156863,clustering,119,5,37,0,"{np.int64(0): 2, np.int64(1): 1, np.int64(2): 1, np.int64(3): 2}",1,0.9178628389154705,1.0,0.0,1.0
"[18, 19, 21, 22, 24, 38]",4.752702200018763,0.4682843137254902,lstm,142,4,20,0,"{np.int64(1): 2, np.int64(2): 3, np.int64(3): 1}",1,0.8638755980861245,1.0,0.0,1.0
"[7, 8, 19, 20, 22, 32]",5.896523305813553,0.42661764705882355,lstm,108,4,25,0,"{np.int64(0): 2, np.int64(1): 2, np.int64(2): 1, np.int64(3): 1}",2,0.8380116959064328,1.05,0.0,1.0
"[9, 15, 16, 20, 21, 22]",5.694572364511993,0.48049019607843146,lstm_v2,103,3,13,0,"{np.int64(0): 1, np.int64(1): 3, np.int64(2): 2}",0,0.8508506113769272,0.9,0.0,1.0
"[6, 7, 20, 21, 22, 38]",7.118654835618458,0.3606372549019608,lstm_v2,114,4,32,0,"{np.int64(0): 2, np.int64(1): 1, np.int64(2): 2, np.int64(3): 1}",1,0.8542606516290727,1.1,0.0,1.0
"[2, 3, 20, 21, 22, 31]",6.6733543015292245,0.408921568627451,lstm_v2,99,3,29,0,"{np.int64(0): 2, np.int64(1): 1, np.int64(2): 2, np.int64(3): 1}",3,0.8513556618819778,0.9500000000000001,0.0,1.0
"[2, 19, 20, 21, 22, 37]",7.55716555649373,0.4692156862745098,lstm_v2,121,3,35,0,"{np.int64(0): 1, np.int64(1): 2, np.int64(2): 2, np.int64(3): 1}",3,0.8328017012227539,1.05,0.0,1.0
"[13, 20, 21, 22, 38, 39]",6.291484754667418,0.5084313725490197,lstm_v2,153,3,26,0,"{np.int64(1): 2, np.int64(2): 2, np.int64(3): 2}",1,0.861244019138756,0.9500000000000001,0.0,1.0
