combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[4, 5, 8, 18, 27, 34]",5.072121212121213,0.5,transformer_fallback,96,4,30,0,"{0: 3, 1: 1, 2: 1, 3: 1}",1,0.7636363636363637,0.92,0.0,1.0
"[8, 9, 20, 23, 26, 37]",5.872787878787879,0.5,transformer_fallback,123,3,29,2,"{0: 2, 1: 1, 2: 2, 3: 1}",2,0.7236363636363636,1.12,0.0,1.0
"[1, 20, 22, 23, 31, 33]",5.860666666666666,0.5,transformer_fallback,130,2,32,0,"{0: 1, 1: 1, 2: 2, 3: 2}",2,0.6933333333333334,1.12,0.0,1.0
"[1, 5, 7, 23, 31, 32]",4.878787878787879,0.5,transformer_fallback,99,1,31,1,"{0: 3, 2: 1, 3: 2}",4,0.696969696969697,0.87,0.0,1.0
"[6, 16, 17, 21, 35, 38]",5.736666666666667,0.5,transformer_fallback,133,3,32,1,"{0: 1, 1: 2, 2: 1, 3: 2}",1,0.8,1.07,0.0,1.0
