combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[11, 12, 17, 21, 38, 39]",6.1300606060606055,0.5,transformer_fallback,138,2,28,1,"{np.int64(1): 3, np.int64(2): 1, np.int64(3): 2}",2,0.7418181818181818,1.05,0.0,1.0
"[8, 14, 28, 29, 33, 36]",5.722121212121213,0.5,transformer_fallback,148,4,28,1,"{np.int64(0): 1, np.int64(1): 1, np.int64(2): 2, np.int64(3): 2}",1,0.7636363636363637,1.1,0.0,1.0
"[2, 18, 23, 31, 33, 38]",6.032181818181818,0.5,transformer_fallback,145,3,36,1,"{np.int64(0): 1, np.int64(1): 1, np.int64(2): 1, np.int64(3): 3}",3,0.7054545454545454,1.05,0.0,1.0
"[7, 12, 16, 17, 18, 29]",4.532181818181818,0.5,transformer_fallback,99,3,22,1,"{np.int64(0): 1, np.int64(1): 4, np.int64(2): 1}",3,0.7054545454545454,0.9,0.0,1.0
"[1, 9, 10, 18, 31, 35]",5.7133939393939395,0.5,transformer_fallback,104,2,34,0,"{np.int64(0): 3, np.int64(1): 1, np.int64(3): 2}",1,0.7418181818181818,1.05,0.0,1.0
