combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[15, 19, 20, 21, 23, 40]",5.794444444444444,0.5,lstm,138,2,25,2,"{1: 3, 2: 2, 3: 1}",2,0.5277777777777777,1.05,0.0,1.0
"[20, 21, 22, 24, 33, 40]",3.499206349206349,0.5,lstm,160,4,20,2,"{1: 1, 2: 3, 3: 2}",0,0.373015873015873,0.9500000000000001,0.0,1.0
"[20, 22, 23, 24, 37, 40]",3.211111111111111,0.5,lstm,166,4,20,4,"{1: 1, 2: 3, 3: 2}",2,0.44444444444444453,0.9000000000000001,0.0,1.0
"[12, 21, 22, 23, 24, 40]",4.094444444444445,0.5,lstm,142,4,28,3,"{1: 1, 2: 4, 3: 1}",1,0.44444444444444453,1.1,0.0,1.0
"[19, 20, 21, 22, 24, 40]",4.5547619047619055,0.5,lstm,146,4,21,2,"{1: 2, 2: 3, 3: 1}",1,0.34523809523809523,0.85,0.0,1.0
"[4, 20, 21, 22, 24, 40]",5.39920634920635,0.5,lstm,131,5,36,2,"{0: 1, 1: 1, 2: 3, 3: 1}",0,0.373015873015873,1.0,0.0,1.0
