combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[8, 10, 11, 13, 19, 40]",6.027333333333333,0.5,transformer_fallback,101,3,32,0,"{np.int64(0): 2, np.int64(1): 3, np.int64(3): 1}",3,0.6933333333333334,1.05,0.0,1.0
"[7, 8, 9, 13, 15, 40]",4.934,0.5,transformer_fallback,92,2,33,0,"{np.int64(0): 3, np.int64(1): 2, np.int64(3): 1}",2,0.6266666666666667,0.9,0.0,1.0
"[1, 5, 6, 27, 31, 33]",6.153333333333333,0.5,transformer_fallback,103,1,32,0,"{np.int64(0): 3, np.int64(2): 1, np.int64(3): 2}",2,0.8,1.0,0.0,1.0
"[8, 15, 21, 26, 34, 40]",5.520060606060606,0.5,transformer_fallback,144,4,32,1,"{np.int64(0): 1, np.int64(1): 1, np.int64(2): 2, np.int64(3): 2}",0,0.6751515151515152,1.05,0.0,1.0
"[3, 4, 9, 15, 28, 30]",5.06339393939394,0.5,transformer_fallback,89,3,27,1,"{np.int64(0): 3, np.int64(1): 1, np.int64(2): 2}",1,0.7418181818181818,0.9,0.0,1.0
