combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,rare_bonus,arima_score
"[6, 9, 13, 21, 24, 28]",3.72198385751863,0.5513725490196079,montecarlo,101,3,22,0,"{0: 2, 1: 1, 2: 3}",1,0.9126111413536563,0.87,0.0,0.064,0.5793607604792965
"[5, 6, 29, 32, 35, 37]",3.959003953306106,0.46406862745098043,montecarlo,144,2,32,2,"{0: 2, 2: 1, 3: 3}",3,0.9231355470876429,0.87,0.0,0.128,0.5793607604792965
"[1, 18, 22, 28, 29, 30]",3.278983529202129,0.4377941176470589,montecarlo,128,4,29,2,"{0: 1, 1: 1, 2: 4}",1,0.8976955180547994,0.87,0.0,0.0,0.5793607604792965
"[1, 5, 18, 21, 25, 29]",3.3346350688381605,0.4155882352941177,montecarlo,99,1,28,2,"{0: 2, 1: 1, 2: 3}",2,0.8962983124659771,0.87,0.0,0.0,0.5793607604792965
"[4, 9, 13, 20, 26, 28]",3.6777787573385363,0.5168137254901961,montecarlo,100,4,24,0,"{0: 2, 1: 2, 2: 2}",1,0.908219923788786,0.87,0.0,0.0,0.5793607604792965
"[3, 5, 18, 21, 25, 30]",3.922075163754872,0.48593137254901964,montecarlo,102,2,27,1,"{0: 2, 1: 1, 2: 3}",2,0.9027581201233896,0.87,0.0,0.0,0.5793607604792965
"[8, 16, 20, 23, 26, 33]",3.700408485246315,0.5486764705882353,montecarlo,126,4,25,1,"{0: 1, 1: 2, 2: 2, 3: 1}",1,0.9025403737978588,0.87,0.0,0.032,0.5793607604792965
"[5, 13, 21, 22, 31, 32]",3.908078230891229,0.4328921568627451,montecarlo,124,2,27,2,"{0: 1, 1: 1, 2: 2, 3: 2}",3,0.890074396661223,0.87,0.0,0.064,0.5793607604792965
"[7, 22, 23, 27, 29, 37]",2.609285566312269,0.3986274509803922,montecarlo,145,1,30,3,"{0: 1, 2: 4, 3: 1}",4,0.891235710397387,0.87,0.0,0.032,0.5793607604792965
"[4, 8, 13, 18, 26, 37]",3.804011345069617,0.5241666666666668,montecarlo,106,4,33,1,"{0: 2, 1: 2, 2: 1, 3: 1}",2,0.9090001814552713,0.87,0.0,0.032,0.5793607604792965
"[2, 6, 16, 24, 25, 26]",3.1089688487923093,0.33558823529411763,montecarlo,99,5,24,0,"{0: 2, 1: 1, 2: 3}",1,0.9049900199600799,0.87,0.0,0.064,0.5793607604792965
"[4, 9, 13, 22, 23, 29]",3.8754760764802922,0.4434803921568628,montecarlo,100,2,25,2,"{0: 2, 1: 1, 2: 3}",3,0.900417347123934,0.87,0.0,0.0,0.5793607604792965
"[2, 6, 26, 27, 35, 37]",3.840874372378841,0.5172549019607844,montecarlo,133,3,35,1,"{0: 2, 2: 2, 3: 2}",2,0.9128651787334422,0.87,0.0,0.096,0.5793607604792965
"[2, 8, 16, 21, 26, 27]",3.6618688863950752,0.4434803921568628,montecarlo,100,4,25,2,"{0: 2, 1: 1, 2: 3}",1,0.895808383233533,0.87,0.0,0.0,0.5793607604792965
"[2, 6, 20, 27, 34, 37]",3.8370034813098166,0.515343137254902,montecarlo,126,4,35,1,"{0: 2, 1: 1, 2: 1, 3: 2}",2,0.8989838504808565,0.87,0.0,0.096,0.5793607604792965
"[4, 5, 13, 16, 17, 32]",3.476881230803221,0.5142763529411765,montecarlo,87,3,28,1,"{0: 2, 1: 3, 3: 1}",3,0.8976229359462892,0.87,0.0,0.032,0.5793607604792965
"[7, 8, 17, 22, 32, 37]",3.9267122034254376,0.5318253333333334,montecarlo,123,3,30,2,"{0: 2, 1: 1, 2: 1, 3: 2}",3,0.8957176555978952,0.87,0.0,0.064,0.5793607604792965
"[6, 13, 18, 19, 30, 31]",4.282857658831493,0.6090270588235294,apriori,117,3,25,0,"{0: 1, 1: 3, 2: 1, 3: 1}",3,0.8868263473053892,0.87,0.0,0.064,0.5793607604792965
