combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[14, 15, 21, 24, 31, 34]",2.824090334731806,0.5,combined,139,3,20,0,"{1: 2, 2: 2, 3: 2}",1,0.8503987240829346,0.87,0.0,0.593692147229648
"[13, 18, 19, 20, 28, 31]",2.6722111953129293,0.5,combined,129,3,18,0,"{1: 4, 2: 1, 3: 1}",3,0.877511961722488,0.87,0.0,0.593692147229648
"[2, 7, 15, 26, 35, 37]",3.617043367867366,0.5,combined,122,2,35,0,"{0: 2, 1: 1, 2: 1, 3: 2}",3,0.856140350877193,0.87,0.0,0.593692147229648
"[14, 19, 22, 26, 33, 34]",2.8229540818184473,0.5,combined,148,4,20,0,"{1: 2, 2: 2, 3: 2}",1,0.8456140350877193,0.87,0.0,0.593692147229648
"[1, 2, 20, 21, 22, 30]",3.0297994559210264,0.5,combined,96,4,29,0,"{0: 2, 1: 1, 2: 3}",1,0.8416267942583733,0.87,0.0,0.593692147229648
"[8, 14, 15, 16, 21, 23]",2.27526124003125,0.5,combined,97,3,15,0,"{0: 1, 1: 3, 2: 2}",1,0.7893141945773525,0.87,0.0,0.593692147229648
"[7, 8, 19, 33, 34, 35]",3.5081714012190965,0.5,combined,136,2,28,0,"{0: 2, 1: 1, 3: 3}",2,0.8143540669856459,0.87,0.0,0.593692147229648
"[1, 7, 14, 17, 20, 23]",3.0724941591404593,0.5,combined,82,2,22,0,"{0: 2, 1: 3, 2: 1}",3,0.8130781499202552,0.87,0.0,0.593692147229648
"[1, 6, 18, 21, 28, 35]",3.3205002950294378,0.5,combined,109,3,34,0,"{0: 2, 1: 1, 2: 2, 3: 1}",0,0.8574162679425837,0.87,0.0,0.593692147229648
"[6, 16, 19, 22, 25, 31]",3.5193066797700068,0.5,combined,119,3,25,0,"{0: 1, 1: 2, 2: 2, 3: 1}",2,0.861244019138756,0.87,0.0,0.593692147229648
"[1, 7, 8, 16, 22, 27]",2.8711122677962786,0.5,combined,81,3,26,0,"{0: 3, 1: 1, 2: 2}",1,0.7984051036682616,0.87,0.0,0.593692147229648
"[7, 8, 17, 18, 32, 33]",3.511807410541843,0.5,combined,115,3,26,0,"{0: 2, 1: 2, 3: 2}",2,0.8296650717703349,0.87,0.0,0.593692147229648
"[5, 8, 15, 16, 22, 23]",2.3769369382282513,0.5,combined,89,3,18,0,"{0: 2, 1: 2, 2: 2}",2,0.8007974481658693,0.87,0.0,0.593692147229648
"[7, 8, 18, 23, 25, 30]",3.5087774027728873,0.5,combined,111,3,23,0,"{0: 2, 1: 1, 2: 3}",2,0.8169059011164275,0.87,0.0,0.593692147229648
"[1, 7, 8, 15, 17, 35]",2.9686974555051897,0.5,combined,83,1,34,0,"{0: 3, 1: 2, 3: 1}",2,0.7926634768740032,0.87,0.0,0.593692147229648
"[8, 13, 15, 23, 27, 33]",3.5121104113187385,0.5,combined,119,1,25,0,"{0: 1, 1: 2, 2: 2, 3: 1}",2,0.8309409888357256,0.87,0.0,0.593692147229648
"[9, 14, 23, 29, 30, 34]",3.521579185596723,0.5,combined,139,3,25,0,"{0: 1, 1: 1, 2: 3, 3: 1}",2,0.8708133971291866,0.87,0.0,0.593692147229648
"[5, 6, 14, 16, 24, 36]",3.4251302508011703,0.5,combined,101,5,31,0,"{0: 2, 1: 2, 2: 1, 3: 1}",1,0.8813397129186603,0.87,0.0,0.593692147229648
"[1, 2, 18, 20, 22, 37]",3.662616578467307,0.5,combined,100,4,36,0,"{0: 2, 1: 2, 2: 1, 3: 1}",2,0.8397129186602871,0.87,0.0,0.593692147229648
