combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[5, 7, 15, 19, 20, 22]",4.250000000000001,0.5,default,88,2,17,0,"{np.int64(0): 2, np.int64(1): 3, np.int64(2): 1}",3,1.0,0.825,0.0,1.0
"[5, 11, 15, 20, 21, 22]",4.083333333333334,0.5,default,94,2,17,0,"{np.int64(0): 1, np.int64(1): 3, np.int64(2): 2}",2,1.0,0.825,0.0,1.0
"[1, 3, 13, 20, 22, 29]",5.500000000000001,0.5,default,88,2,28,0,"{np.int64(0): 2, np.int64(1): 2, np.int64(2): 2}",3,1.0,0.9500000000000001,0.0,1.0
"[9, 10, 16, 20, 22, 34]",5.65,0.5,default,111,5,25,0,"{np.int64(0): 2, np.int64(1): 2, np.int64(2): 1, np.int64(3): 1}",0,1.0,0.95,0.0,1.0
"[2, 9, 17, 22, 25, 27]",5.983333333333333,0.5,default,102,2,25,0,"{np.int64(0): 2, np.int64(1): 1, np.int64(2): 3}",2,1.0,1.0,0.0,1.0
"[1, 4, 5, 14, 17, 20]",3.3333333333333335,0.5,default,61,3,19,0,"{np.int64(0): 3, np.int64(1): 3}",2,1.0,0.7749999999999999,0.0,1.0
"[1, 2, 8, 18, 20, 29]",5.333333333333334,0.5,default,78,4,28,0,"{np.int64(0): 3, np.int64(1): 2, np.int64(2): 1}",2,1.0,0.9,0.0,1.0
"[2, 3, 5, 9, 19, 33]",4.4,0.5,default,71,1,31,0,"{np.int64(0): 4, np.int64(1): 1, np.int64(3): 1}",4,1.0,0.7499999999999999,0.0,1.0
"[7, 15, 17, 21, 26, 34]",5.983333333333333,0.5,default,120,2,27,0,"{np.int64(0): 1, np.int64(1): 2, np.int64(2): 2, np.int64(3): 1}",2,1.0,1.05,0.0,1.0
"[2, 7, 9, 14, 21, 28]",5.083333333333334,0.5,default,81,3,26,0,"{np.int64(0): 3, np.int64(1): 1, np.int64(2): 2}",2,1.0,0.9500000000000001,0.0,1.0
"[1, 2, 3, 14, 18, 28]",5.333333333333334,0.5,default,66,4,27,0,"{np.int64(0): 3, np.int64(1): 2, np.int64(2): 1}",2,1.0,0.85,0.0,1.0
"[5, 7, 12, 18, 27, 30]",5.083333333333334,0.5,default,99,3,25,0,"{np.int64(0): 2, np.int64(1): 2, np.int64(2): 2}",2,1.0,0.9,0.0,1.0
"[5, 8, 10, 17, 20, 37]",5.250000000000001,0.5,default,97,3,32,0,"{np.int64(0): 3, np.int64(1): 2, np.int64(3): 1}",3,1.0,0.9,0.0,1.0
"[4, 8, 9, 13, 18, 33]",4.916666666666668,0.5,default,85,3,29,0,"{np.int64(0): 3, np.int64(1): 2, np.int64(3): 1}",1,1.0,0.9,0.0,1.0
"[7, 12, 18, 25, 27, 28]",4.816666666666667,0.5,default,117,3,21,0,"{np.int64(0): 1, np.int64(1): 2, np.int64(2): 3}",1,1.0,1.05,0.0,1.0
"[4, 6, 16, 20, 23, 37]",5.983333333333333,0.5,default,106,4,33,0,"{np.int64(0): 2, np.int64(1): 2, np.int64(2): 1, np.int64(3): 1}",2,1.0,1.05,0.0,1.0
"[3, 11, 18, 20, 34, 37]",6.15,0.5,default,123,3,34,0,"{np.int64(0): 1, np.int64(1): 3, np.int64(3): 2}",3,1.0,1.05,0.0,1.0
