combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[2, 9, 18, 19, 20, 26]",5.083333333333334,0.5,default,94,4,24,0,"{np.int64(0): 2, np.int64(1): 3, np.int64(2): 1}",2,1.0,0.9,0.0,1.0
"[2, 3, 11, 15, 16, 19]",2.4,0.5,default,66,2,17,0,"{np.int64(0): 2, np.int64(1): 4}",4,1.0,0.725,0.0,1.0
"[1, 2, 5, 11, 15, 26]",5.500000000000001,0.5,default,60,2,25,0,"{np.int64(0): 3, np.int64(1): 2, np.int64(2): 1}",3,1.0,0.9,0.0,1.0
"[1, 2, 4, 11, 15, 16]",3.3333333333333335,0.5,default,49,3,15,0,"{np.int64(0): 3, np.int64(1): 3}",2,1.0,0.6749999999999999,0.0,1.0
"[2, 3, 11, 19, 22, 39]",5.000000000000001,0.5,default,96,2,37,0,"{np.int64(0): 2, np.int64(1): 2, np.int64(2): 1, np.int64(3): 1}",4,1.0,0.9,0.0,1.0
"[2, 14, 20, 25, 30, 31]",5.983333333333333,0.5,default,122,4,29,0,"{np.int64(0): 1, np.int64(1): 2, np.int64(2): 2, np.int64(3): 1}",2,1.0,1.1,0.0,1.0
"[2, 7, 26, 27, 34, 35]",5.983333333333333,0.5,default,131,3,33,0,"{np.int64(0): 2, np.int64(2): 2, np.int64(3): 2}",2,1.0,1.1,0.0,1.0
"[2, 3, 16, 26, 31, 39]",6.4,0.5,default,117,3,37,0,"{np.int64(0): 2, np.int64(1): 1, np.int64(2): 1, np.int64(3): 2}",3,1.0,1.05,0.0,1.0
"[2, 8, 11, 26, 30, 36]",5.983333333333333,0.5,default,113,5,34,0,"{np.int64(0): 2, np.int64(1): 1, np.int64(2): 2, np.int64(3): 1}",2,1.0,1.0,0.0,1.0
"[2, 4, 6, 17, 35, 39]",6.233333333333333,0.5,default,103,3,37,0,"{np.int64(0): 3, np.int64(1): 1, np.int64(3): 2}",2,1.0,1.05,0.0,1.0
"[7, 9, 13, 20, 25, 26]",4.983333333333333,0.5,default,100,2,19,0,"{np.int64(0): 2, np.int64(1): 2, np.int64(2): 2}",2,1.0,1.025,0.0,1.0
"[4, 8, 16, 20, 23, 26]",4.916666666666668,0.5,default,97,5,22,0,"{np.int64(0): 2, np.int64(1): 2, np.int64(2): 2}",1,1.0,0.7999999999999999,0.0,1.0
"[4, 12, 13, 15, 17, 21]",3.4833333333333334,0.5,default,82,2,17,0,"{np.int64(0): 1, np.int64(1): 4, np.int64(2): 1}",2,1.0,0.825,0.0,1.0
