combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[2, 3, 14, 23, 31, 39]",5.798181818181818,0.5,transformer_fallback,112,2,37,0,"{np.int64(0): 2, np.int64(1): 1, np.int64(2): 1, np.int64(3): 2}",4,0.7454545454545455,1.1,0.0,1.0
"[2, 6, 8, 20, 27, 38]",5.7293939393939395,0.5,transformer_fallback,101,5,36,1,"{np.int64(0): 3, np.int64(1): 1, np.int64(2): 1, np.int64(3): 1}",1,0.7818181818181819,1.0,0.0,1.0
"[4, 10, 18, 21, 23, 29]",5.872787878787879,0.5,transformer_fallback,105,3,25,0,"{np.int64(0): 2, np.int64(1): 1, np.int64(2): 3}",2,0.7236363636363636,1.05,0.0,1.0
"[11, 26, 29, 35, 37, 40]",5.396727272727273,0.5,transformer_fallback,178,2,29,1,"{np.int64(1): 1, np.int64(2): 2, np.int64(3): 3}",3,0.7418181818181818,0.9500000000000001,0.0,1.0
"[12, 14, 18, 29, 30, 35]",5.6973939393939395,0.5,transformer_fallback,138,4,23,1,"{np.int64(1): 3, np.int64(2): 2, np.int64(3): 1}",1,0.7018181818181818,1.05,0.0,1.0
