combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[3, 5, 9, 20, 29, 40]",3.921635539721807,0.5,default,106,2,37,0,"{0: 3, 1: 1, 2: 1, 3: 1}",3,1.0,0.83,0.0,0.6127555530815323
"[1, 3, 11, 20, 27, 40]",3.2067540611266856,0.5,default,102,2,39,0,"{0: 2, 1: 2, 2: 1, 3: 1}",2,1.0,0.83,0.0,0.6127555530815323
"[2, 3, 8, 21, 23, 40]",2.757399988866896,0.5,default,97,3,38,0,"{0: 3, 2: 2, 3: 1}",3,1.0,0.83,0.0,0.6127555530815323
