combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[10, 24, 30, 33, 37, 39]",5.064848484848485,0.5,transformer_fallback,173,3,29,0,"{0: 1, 2: 2, 3: 3}",1,0.7454545454545455,0.9500000000000001,0.0,1.0
"[2, 11, 12, 31, 39, 40]",5.2807272727272725,0.5,transformer_fallback,135,3,38,0,"{0: 1, 1: 2, 3: 3}",3,0.7018181818181819,1.1,0.0,1.0
"[6, 8, 15, 27, 39, 40]",5.789454545454546,0.5,transformer_fallback,135,3,34,0,"{0: 2, 1: 1, 2: 1, 3: 2}",0,0.7236363636363636,1.05,0.0,1.0
"[5, 11, 19, 21, 22, 39]",6.039454545454546,0.5,transformer_fallback,117,1,34,0,"{0: 1, 1: 2, 2: 2, 3: 1}",3,0.7236363636363636,0.95,0.0,1.0
"[1, 14, 18, 20, 23, 35]",5.736666666666667,0.5,transformer_fallback,111,3,34,0,"{0: 1, 1: 3, 2: 1, 3: 1}",1,0.8,1.05,0.0,1.0
