combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,rare_bonus,arima_score
"[5, 11, 21, 22, 26, 38]",3.5263198107074767,0.5,combined,123,3,33,0,"{0: 1, 1: 1, 2: 3, 3: 1}",2,0.8164502164502164,0.83,0.0,0.032,0.5934653640171786
"[3, 4, 17, 19, 22, 28]",3.229530608188029,0.5,combined,93,3,25,0,"{0: 2, 1: 2, 2: 2}",3,0.8545454545454545,0.87,0.0,0.0,0.5934653640171786
"[2, 7, 15, 26, 35, 37]",3.6535731717918876,0.5,combined,122,2,35,0,"{0: 2, 1: 1, 2: 1, 3: 2}",3,0.8558441558441559,0.87,0.0,0.064,0.5934653640171786
"[6, 7, 11, 21, 22, 40]",3.5229285800559498,0.5,combined,107,3,34,1,"{0: 2, 1: 1, 2: 2, 3: 1}",2,0.8021645021645022,0.83,0.0,0.032,0.5934653640171786
"[9, 11, 18, 19, 25, 27]",2.9247565989527127,0.5,combined,109,1,18,1,"{0: 1, 1: 3, 2: 2}",2,0.8623376623376624,0.83,0.0,0.0,0.5934653640171786
"[4, 21, 24, 30, 38, 40]",2.9723211779545053,0.5,combined,157,5,36,1,"{0: 1, 2: 3, 3: 2}",0,0.861038961038961,0.83,0.0,0.064,0.5934653640171786
"[6, 15, 16, 29, 30, 39]",3.4548265026993814,0.5,combined,135,3,33,0,"{0: 1, 1: 2, 2: 2, 3: 1}",1,0.851948051948052,0.83,0.0,0.064,0.5934653640171786
"[7, 12, 17, 20, 22, 34]",3.5332050365757275,0.5,combined,112,4,27,1,"{0: 1, 1: 3, 2: 1, 3: 1}",2,0.8454545454545455,0.83,0.0,0.032,0.5934653640171786
"[3, 11, 20, 26, 32, 34]",3.550962753441904,0.5,combined,126,4,31,0,"{0: 1, 1: 2, 2: 1, 3: 2}",2,0.8402597402597403,0.83,0.0,0.064,0.5934653640171786
"[14, 19, 22, 26, 33, 34]",2.8754193312012593,0.5,combined,148,4,20,0,"{1: 2, 2: 2, 3: 2}",1,0.8311688311688312,0.87,0.0,0.096,0.5934653640171786
"[6, 16, 19, 34, 37, 40]",3.1792684593497946,0.5,combined,152,4,34,1,"{0: 1, 1: 2, 3: 3}",2,0.8194805194805195,0.83,0.0,0.096,0.5934653640171786
"[1, 11, 16, 30, 36, 37]",3.6970682740118477,0.5,combined,131,3,36,1,"{0: 1, 1: 2, 2: 1, 3: 2}",2,0.8307359307359308,0.83,0.0,0.064,0.5934653640171786
"[7, 11, 18, 29, 30, 37]",3.3281897290061573,0.5,combined,132,2,30,0,"{0: 1, 1: 2, 2: 2, 3: 1}",4,0.8151515151515152,0.83,0.0,0.032,0.5934653640171786
"[9, 14, 15, 16, 28, 38]",3.3583819582612646,0.5,combined,120,4,29,0,"{0: 1, 1: 3, 2: 1, 3: 1}",0,0.8623376623376624,0.83,0.0,0.064,0.5934653640171786
