combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[14, 15, 21, 24, 31, 34]",2.830292381883886,0.5,combined,139,3,20,0,"{1: 2, 2: 2, 3: 2}",1,0.8765151515151515,1.05,0.0,0.593692147229648
"[13, 18, 19, 20, 28, 31]",2.677551584005713,0.5,combined,129,3,18,0,"{1: 4, 2: 1, 3: 1}",3,0.9,0.9749999999999999,0.0,0.593692147229648
"[2, 11, 25, 29, 35, 38]",3.6236809786362336,0.5,combined,140,2,36,0,"{0: 1, 1: 1, 2: 2, 3: 2}",3,0.8840909090909091,1.1,0.0,0.593692147229648
"[2, 4, 17, 22, 28, 40]",3.078203830030084,0.5,combined,113,5,38,0,"{0: 2, 1: 1, 2: 2, 3: 1}",2,0.8787878787878788,0.95,0.0,0.593692147229648
"[2, 7, 15, 26, 35, 37]",3.619902937699318,0.5,combined,122,2,35,0,"{0: 2, 1: 1, 2: 1, 3: 2}",3,0.8681818181818182,1.05,0.0,0.593692147229648
"[6, 7, 11, 21, 22, 40]",3.513578071331826,0.5,combined,107,3,34,0,"{0: 2, 1: 1, 2: 2, 3: 1}",2,0.8371212121212122,1.1,0.0,0.593692147229648
"[4, 21, 24, 30, 38, 40]",2.9403952891882934,0.5,combined,157,5,36,0,"{0: 1, 2: 3, 3: 2}",0,0.8818181818181818,0.85,0.0,0.593692147229648
"[5, 7, 9, 34, 35, 39]",2.93062035787532,0.5,combined,129,1,34,0,"{0: 3, 3: 3}",2,0.8823232323232323,0.9,0.0,0.593692147229648
"[6, 15, 16, 29, 30, 39]",3.42146583515559,0.5,combined,135,3,33,0,"{0: 1, 1: 2, 2: 2, 3: 1}",1,0.865909090909091,1.05,0.0,0.593692147229648
"[7, 12, 17, 20, 22, 34]",3.5178358634988265,0.5,combined,112,4,27,0,"{0: 1, 1: 3, 2: 1, 3: 1}",2,0.8550505050505051,1.05,0.0,0.593692147229648
"[3, 11, 20, 26, 32, 34]",3.524732287431292,0.5,combined,126,4,31,0,"{0: 1, 1: 2, 2: 1, 3: 2}",2,0.884090909090909,1.1,0.0,0.593692147229648
"[14, 19, 22, 26, 33, 34]",2.8275338123108997,0.5,combined,148,4,20,0,"{1: 2, 2: 2, 3: 2}",1,0.86489898989899,1.05,0.0,0.593692147229648
"[6, 16, 19, 34, 37, 40]",3.123480352369315,0.5,combined,152,4,34,0,"{0: 1, 1: 2, 3: 3}",2,0.8194444444444444,0.9,0.0,0.593692147229648
"[1, 11, 16, 30, 36, 37]",3.667278371670168,0.5,combined,131,3,36,0,"{0: 1, 1: 2, 2: 1, 3: 2}",2,0.8593434343434343,1.05,0.0,0.593692147229648
"[7, 11, 18, 29, 30, 37]",3.3202982945115074,0.5,combined,132,2,30,0,"{0: 1, 1: 2, 2: 2, 3: 1}",4,0.8565656565656565,1.05,0.0,0.593692147229648
"[9, 14, 15, 16, 28, 38]",3.3248559311973107,0.5,combined,120,4,29,0,"{0: 1, 1: 3, 2: 1, 3: 1}",0,0.8757575757575757,1.05,0.0,0.593692147229648
"[1, 2, 20, 21, 22, 30]",3.035565939456319,0.5,combined,96,4,29,0,"{0: 2, 1: 1, 2: 3}",1,0.865909090909091,0.9500000000000001,0.0,0.593692147229648
"[8, 11, 16, 37, 38, 40]",3.6649395844235055,0.5,combined,150,4,32,0,"{0: 1, 1: 2, 3: 3}",2,0.8494949494949495,1.05,0.0,0.593692147229648
"[7, 8, 19, 33, 34, 35]",3.519934775130446,0.5,combined,136,2,28,0,"{0: 2, 1: 1, 3: 3}",2,0.8638888888888889,1.05,0.0,0.593692147229648
"[1, 7, 14, 17, 20, 23]",3.088038730246818,0.5,combined,82,2,22,0,"{0: 2, 1: 3, 2: 1}",3,0.8785353535353535,0.9,0.0,0.593692147229648
"[12, 16, 29, 32, 34, 37]",2.9847722779711154,0.5,combined,160,4,25,0,"{1: 2, 2: 1, 3: 3}",2,0.8603535353535353,0.9,0.0,0.593692147229648
"[4, 6, 14, 16, 23, 40]",3.4197867058502944,0.5,combined,103,5,36,0,"{0: 2, 1: 2, 2: 1, 3: 1}",1,0.8588383838383838,0.95,0.0,0.593692147229648
"[1, 6, 18, 21, 28, 35]",3.3250358379085925,0.5,combined,109,3,34,0,"{0: 2, 1: 1, 2: 2, 3: 1}",0,0.8765151515151515,1.05,0.0,0.593692147229648
"[6, 16, 19, 22, 25, 31]",3.5192751171890797,0.5,combined,119,3,25,0,"{0: 1, 1: 2, 2: 2, 3: 1}",2,0.8611111111111112,1.05,0.0,0.593692147229648
