combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[1, 3, 6, 8, 22, 30]",3.463393939393939,0.5,transformer_fallback,70,4,29,1,"{0: 4, 2: 2}",1,0.7418181818181818,0.9500000000000001,0.0,1.0
"[1, 16, 21, 26, 28, 32]",5.528787878787879,0.5,transformer_fallback,124,4,31,0,"{0: 1, 1: 1, 2: 3, 3: 1}",0,0.696969696969697,1.05,0.0,1.0
"[2, 4, 5, 19, 25, 35]",5.412727272727273,0.5,transformer_fallback,90,2,33,2,"{0: 3, 1: 1, 2: 1, 3: 1}",3,0.7818181818181819,0.9,0.0,1.0
"[1, 14, 16, 28, 30, 36]",5.520060606060606,0.5,transformer_fallback,125,5,35,1,"{0: 1, 1: 2, 2: 2, 3: 1}",0,0.6751515151515152,0.95,0.0,1.0
"[15, 17, 18, 19, 28, 31]",4.448181818181818,0.5,transformer_fallback,128,2,16,0,"{1: 4, 2: 1, 3: 1}",3,0.7454545454545455,0.9,0.0,1.0
