combination,score,svi_score,source,timestamp
"[6, 12, 18, 24, 29, 36]",2.5471361999999997,60.48,lstm_v2,2025-08-01T15:22:29.401521
"[12, 19, 26, 27, 30, 39]",1.4365785599999998,63.16,clustering,2025-08-01T15:22:29.401524
"[8, 10, 11, 12, 29, 37]",1.26425904,60.4,clustering,2025-08-01T15:22:29.401526
"[7, 12, 18, 21, 28, 39]",1.2611088,63.22,clustering,2025-08-01T15:22:29.401527
"[1, 3, 15, 26, 30, 32]",1.2504592799999998,62.61,ghost_rng,2025-08-01T15:22:29.401529
"[6, 9, 21, 22, 30, 36]",0.880396,63.22,clustering,2025-08-01T15:22:29.401530
"[8, 20, 21, 22, 33, 37]",0.84246096,60.5,transformer_deep,2025-08-01T15:22:29.401532
"[6, 12, 18, 24, 29, 35]",0.80488296,60.52,lstm_v2,2025-08-01T15:22:29.401533
"[7, 10, 16, 23, 27, 36]",0.8044898399999999,60.5,transformer_deep,2025-08-01T15:22:29.401537
"[6, 13, 14, 20, 23, 35]",0.4522874400000001,65.0,apriori,2025-08-01T15:22:29.401539
"[1, 21, 22, 25, 34, 39]",0.44820248000000007,64.61,apriori,2025-08-01T15:22:29.401543
"[6, 13, 17, 25, 27, 34]",0.4322178000000001,65.0,clustering,2025-08-01T15:22:29.401547
"[5, 7, 15, 16, 29, 36]",0.43189944,65.0,apriori,2025-08-01T15:22:29.401549
"[5, 16, 27, 28, 31, 37]",0.4318986000000001,65.0,apriori,2025-08-01T15:22:29.401550
"[1, 4, 5, 15, 39, 40]",0.43097796,65.0,apriori,2025-08-01T15:22:29.401551
"[6, 13, 18, 29, 30, 34]",0.4255314,63.98,clustering,2025-08-01T15:22:29.401553
"[1, 11, 28, 29, 36, 38]",0.42161152,60.5,transformer_deep,2025-08-01T15:22:29.401554
"[2, 3, 6, 26, 28, 38]",0.4113736,65.0,apriori,2025-08-01T15:22:29.401555
"[3, 7, 12, 17, 28, 38]",0.4024062,60.5,transformer_deep,2025-08-01T15:22:29.401557
"[2, 13, 15, 20, 26, 39]",0.40224576000000006,60.5,transformer_deep,2025-08-01T15:22:29.401558
"[4, 6, 17, 28, 32, 33]",0.40208111999999996,60.5,transformer_deep,2025-08-01T15:22:29.401559
"[4, 15, 25, 27, 36, 38]",0.40192572,60.4,clustering,2025-08-01T15:22:29.401561
"[4, 7, 16, 26, 30, 40]",0.39045608,65.0,apriori,2025-08-01T15:22:29.401562
"[6, 11, 14, 23, 24, 25]",0.3894103200000001,64.95,apriori,2025-08-01T15:22:29.401563
"[7, 19, 23, 27, 35, 37]",0.36276471999999993,60.4,clustering,2025-08-01T15:22:29.401564
"[1, 11, 12, 15, 22, 31]",0.3549132,62.38,clustering,2025-08-01T15:22:29.401566
"[7, 9, 12, 18, 22, 39]",0.0,63.36,apriori,2025-08-01T15:22:29.401571
"[13, 18, 28, 34, 36, 37]",0.0,63.04,apriori,2025-08-01T15:22:29.401572
"[3, 13, 14, 24, 28, 38]",0.0,62.6,ghost_rng,2025-08-01T15:22:29.401573
"[7, 13, 14, 21, 29, 33]",0.0,62.4,clustering,2025-08-01T15:22:29.401577
