combination,score,svi_score,source,timestamp
"[7, 13, 14, 24, 28, 36]",3.5387521359999994,0.5,clustering,2025-08-01T13:19:09.262865
"[9, 12, 13, 28, 29, 35]",1.0349406719999998,0.5,transformer_deep,2025-08-01T13:19:09.262871
"[4, 14, 26, 27, 31, 32]",0.739717744,0.5,transformer_deep,2025-08-01T13:19:09.262873
"[7, 13, 27, 28, 31, 37]",0.68587744,0.5,transformer_deep,2025-08-01T13:19:09.262876
"[10, 13, 21, 22, 24, 39]",0.466481088,0.5,apriori,2025-08-01T13:19:09.262877
"[2, 20, 23, 26, 27, 29]",0.457725264,0.5,clustering,2025-08-01T13:19:09.262882
"[5, 10, 17, 26, 28, 38]",0.452542464,0.5,clustering,2025-08-01T13:19:09.262884
"[1, 6, 17, 29, 31, 33]",0.42322455999999997,0.5,clustering,2025-08-01T13:19:09.262886
"[2, 11, 14, 23, 24, 25]",0.422962284,0.5,apriori,2025-08-01T13:19:09.262888
"[16, 17, 21, 28, 35, 36]",0.403390032,0.5,apriori,2025-08-01T13:19:09.262890
"[9, 16, 23, 31, 34, 39]",0.40015838400000003,0.5,apriori,2025-08-01T13:19:09.262891
"[7, 18, 19, 21, 25, 30]",0.15,0.5,clustering,2025-08-01T13:19:09.262893
"[7, 20, 25, 28, 30, 39]",0.15,0.5,apriori,2025-08-01T13:19:09.262894
"[13, 15, 19, 22, 25, 32]",0.15,0.5,clustering,2025-08-01T13:19:09.262896
"[5, 11, 15, 27, 28, 37]",0.15,0.5,ghost_rng,2025-08-01T13:19:09.262897
"[9, 15, 17, 26, 31, 38]",0.15,0.5,ghost_rng,2025-08-01T13:19:09.262899
"[5, 8, 16, 20, 24, 33]",0.15,0.5,transformer,2025-08-01T13:19:09.262900
"[7, 16, 18, 23, 26, 40]",0.15,0.5,transformer,2025-08-01T13:19:09.262902
"[3, 6, 10, 20, 28, 38]",0.15,0.5,apriori,2025-08-01T13:19:09.262903
"[1, 11, 22, 27, 28, 33]",0.15,0.5,apriori,2025-08-01T13:19:09.262905
"[2, 3, 10, 23, 34, 39]",0.15,0.5,apriori,2025-08-01T13:19:09.262906
"[2, 4, 6, 8, 25, 35]",0.15,0.5,apriori,2025-08-01T13:19:09.262908
"[5, 13, 23, 24, 37, 40]",0.15,0.5,apriori,2025-08-01T13:19:09.262909
"[15, 18, 20, 21, 25, 36]",0.15,0.5,apriori,2025-08-01T13:19:09.262914
"[6, 14, 15, 21, 26, 32]",0.15,0.5,apriori,2025-08-01T13:19:09.262918
"[8, 10, 11, 14, 24, 28]",0.15,0.5,apriori,2025-08-01T13:19:09.262922
"[1, 9, 17, 25, 34, 36]",0.15,0.5,apriori,2025-08-01T13:19:09.262924
"[5, 8, 17, 18, 22, 35]",0.15,0.5,apriori,2025-08-01T13:19:09.262925
"[7, 12, 17, 18, 23, 33]",0.15,0.5,apriori,2025-08-01T13:19:09.262927
"[2, 8, 20, 24, 29, 33]",0.15,0.5,apriori,2025-08-01T13:19:09.262928
