combination,score,svi_score,source,timestamp
"[7, 9, 14, 27, 30, 31]",0.85,0.5,balanced_range,2025-08-08T18:32:28.087097
"[8, 15, 16, 25, 38, 39]",0.6866666666666666,0.5,balanced_range,2025-08-08T18:32:28.087111
"[1, 12, 17, 29, 35, 37]",0.6866666666666666,0.5,balanced_range,2025-08-08T18:32:28.087114
"[10, 20, 22, 25, 28, 31]",0.6026666666666667,0.5,balanced_range,2025-08-08T18:32:28.087117
"[9, 18, 19, 20, 21, 25]",0.5912791815092393,0.5,ai_ensemble,2025-08-08T18:32:28.087119
"[9, 11, 18, 19, 20, 21]",0.5912791815092393,0.5,ai_ensemble,2025-08-08T18:32:28.087125
"[9, 11, 18, 20, 21, 25]",0.5912791815092393,0.5,ai_ensemble,2025-08-08T18:32:28.087130
"[4, 15, 18, 21, 25, 40]",0.57,0.5,meta_learning,2025-08-08T18:32:28.087132
