combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[1, 6, 18, 22, 32, 35]",5.592575757575758,0.5,transformer_fallback,114,4,34,0,"{0: 2, 1: 1, 2: 1, 3: 2}",0,0.856439393939394,1.05,0.0,1.0
"[2, 7, 11, 29, 30, 37]",5.59909090909091,0.5,transformer_fallback,116,2,35,0,"{0: 2, 1: 1, 2: 2, 3: 1}",5,0.8727272727272728,1.1,0.0,1.0
"[4, 10, 21, 24, 28, 37]",5.752424242424243,0.5,transformer_fallback,124,4,33,0,"{0: 2, 2: 3, 3: 1}",1,0.8393939393939394,1.1,0.0,1.0
"[6, 14, 15, 24, 28, 38]",5.595909090909091,0.5,transformer_fallback,125,5,32,0,"{0: 1, 1: 2, 2: 2, 3: 1}",0,0.8647727272727272,0.95,0.0,1.0
"[1, 2, 21, 30, 33, 35]",5.998030303030303,0.5,transformer_fallback,122,2,34,0,"{0: 2, 2: 2, 3: 2}",1,0.8284090909090909,1.1,0.0,1.0
"[2, 8, 9, 13, 21, 26]",5.0196969696969695,0.5,transformer_fallback,79,3,24,0,"{0: 3, 1: 1, 2: 2}",2,0.8409090909090909,0.9500000000000001,0.0,1.0
"[1, 6, 8, 16, 37, 38]",5.996212121212121,0.5,transformer_fallback,106,4,37,0,"{0: 3, 1: 1, 3: 2}",1,0.8238636363636364,1.05,0.0,1.0
"[9, 20, 31, 35, 37, 39]",4.675151515151516,0.5,transformer_fallback,171,1,30,0,"{0: 1, 1: 1, 3: 4}",2,0.8545454545454545,0.85,0.0,1.0
"[3, 8, 16, 21, 23, 28]",5.018636363636364,0.5,transformer_fallback,99,3,25,0,"{0: 2, 1: 1, 2: 3}",2,0.8382575757575758,0.9,0.0,1.0
"[4, 7, 21, 34, 35, 37]",5.911363636363636,0.5,transformer_fallback,138,2,33,0,"{0: 2, 2: 1, 3: 3}",2,0.8200757575757576,1.1,0.0,1.0
"[3, 4, 8, 19, 21, 33]",5.273181818181818,0.5,transformer_fallback,88,2,30,0,"{0: 3, 1: 1, 2: 1, 3: 1}",2,0.8496212121212121,0.9,0.0,1.0
"[9, 14, 20, 26, 30, 38]",5.587575757575758,0.5,transformer_fallback,137,5,29,0,"{0: 1, 1: 2, 2: 2, 3: 1}",0,0.843939393939394,1.0,0.0,1.0
"[5, 14, 22, 25, 32, 34]",5.773030303030303,0.5,transformer_fallback,132,4,29,0,"{0: 1, 1: 1, 2: 2, 3: 2}",1,0.8909090909090909,1.1,0.0,1.0
"[6, 9, 14, 23, 26, 29]",5.919090909090909,0.5,transformer_fallback,107,3,23,0,"{0: 2, 1: 1, 2: 3}",2,0.8393939393939394,1.1,0.0,1.0
"[14, 16, 26, 33, 37, 39]",5.0989393939393945,0.5,transformer_fallback,165,3,25,0,"{1: 2, 2: 1, 3: 3}",1,0.8306818181818182,0.9,0.0,1.0
"[1, 4, 16, 22, 23, 35]",5.99969696969697,0.5,transformer_fallback,101,3,34,0,"{0: 2, 1: 1, 2: 2, 3: 1}",1,0.8325757575757575,1.05,0.0,1.0
