combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[1, 13, 16, 19, 30, 36]",5.9366666666666665,0.5,combined,115,3,35,0,"{0: 1, 1: 3, 2: 1, 3: 1}",2,0.8833333333333333,1.05,0.0,1.0
"[4, 15, 25, 29, 31, 33]",5.943010101010101,0.5,combined,137,1,29,0,"{0: 1, 1: 1, 2: 2, 3: 2}",2,0.8991919191919192,0.95,0.0,1.0
"[13, 14, 23, 28, 31, 32]",5.113878787878788,0.5,combined,141,3,19,0,"{1: 2, 2: 2, 3: 2}",3,0.9096969696969697,1.025,0.0,1.0
"[5, 6, 7, 25, 29, 31]",5.598444444444445,0.5,combined,103,1,26,0,"{0: 3, 2: 2, 3: 1}",4,0.8711111111111112,1.0,0.0,1.0
"[5, 14, 15, 20, 22, 29]",5.935333333333333,0.5,combined,105,3,24,0,"{0: 1, 1: 3, 2: 2}",2,0.88,1.05,0.0,1.0
"[2, 4, 17, 22, 28, 40]",5.188242424242424,0.5,combined,113,5,38,0,"{0: 2, 1: 1, 2: 2, 3: 1}",2,0.8872727272727273,0.95,0.0,1.0
"[2, 7, 15, 26, 35, 37]",6.103212121212121,0.5,combined,122,2,35,0,"{0: 2, 1: 1, 2: 1, 3: 2}",3,0.883030303030303,1.05,0.0,1.0
"[6, 7, 11, 21, 22, 40]",5.922,0.5,combined,107,3,34,0,"{0: 2, 1: 1, 2: 2, 3: 1}",2,0.8466666666666667,1.1,0.0,1.0
"[4, 21, 24, 30, 38, 40]",4.960000000000001,0.5,combined,157,5,36,0,"{0: 1, 2: 3, 3: 2}",0,0.9,0.85,0.0,1.0
"[5, 7, 9, 34, 35, 39]",4.937919191919192,0.5,combined,129,1,34,0,"{0: 3, 3: 3}",2,0.8864646464646464,0.9,0.0,1.0
"[6, 15, 16, 29, 30, 39]",5.76430303030303,0.5,combined,135,3,33,0,"{0: 1, 1: 2, 2: 2, 3: 1}",1,0.8690909090909091,1.05,0.0,1.0
"[7, 12, 17, 20, 22, 34]",5.926282828282828,0.5,combined,112,4,27,0,"{0: 1, 1: 3, 2: 1, 3: 1}",2,0.8573737373737373,1.05,0.0,1.0
"[3, 11, 20, 26, 32, 34]",5.9421212121212115,0.5,combined,126,4,31,0,"{0: 1, 1: 2, 2: 1, 3: 2}",2,0.896969696969697,1.1,0.0,1.0
"[14, 19, 22, 26, 33, 34]",4.767131313131314,0.5,combined,148,4,20,0,"{1: 2, 2: 2, 3: 2}",1,0.8761616161616161,1.05,0.0,1.0
"[6, 16, 19, 34, 37, 40]",5.270222222222222,0.5,combined,152,4,34,0,"{0: 1, 1: 2, 3: 3}",2,0.8422222222222222,0.9,0.0,1.0
"[1, 11, 16, 30, 36, 37]",6.178989898989899,0.5,combined,131,3,36,0,"{0: 1, 1: 2, 2: 1, 3: 2}",2,0.8641414141414141,1.05,0.0,1.0
"[7, 11, 18, 29, 30, 37]",5.5965858585858586,0.5,combined,132,2,30,0,"{0: 1, 1: 2, 2: 2, 3: 1}",4,0.8664646464646465,1.05,0.0,1.0
"[9, 14, 15, 16, 28, 38]",5.605151515151515,0.5,combined,120,4,29,0,"{0: 1, 1: 3, 2: 1, 3: 1}",0,0.8878787878787879,1.05,0.0,1.0
"[1, 2, 20, 21, 22, 30]",5.118181818181819,0.5,combined,96,4,29,0,"{0: 2, 1: 1, 2: 3}",1,0.8787878787878788,0.9500000000000001,0.0,1.0
"[8, 11, 16, 37, 38, 40]",6.178868686868687,0.5,combined,150,4,32,0,"{0: 1, 1: 2, 3: 3}",2,0.8638383838383838,1.05,0.0,1.0
"[7, 8, 19, 33, 34, 35]",5.929111111111111,0.5,combined,136,2,28,0,"{0: 2, 1: 1, 3: 3}",2,0.8644444444444445,1.05,0.0,1.0
"[1, 7, 14, 17, 20, 23]",5.19779797979798,0.5,combined,82,2,22,0,"{0: 2, 1: 3, 2: 1}",3,0.8694949494949494,0.9,0.0,1.0
"[12, 16, 29, 32, 34, 37]",5.0313737373737375,0.5,combined,160,4,25,0,"{1: 2, 2: 1, 3: 3}",2,0.8701010101010102,0.9,0.0,1.0
"[4, 6, 14, 16, 23, 40]",5.761555555555556,0.5,combined,103,5,36,0,"{0: 2, 1: 2, 2: 1, 3: 1}",1,0.8622222222222222,0.95,0.0,1.0
"[1, 6, 18, 21, 28, 35]",5.610727272727273,0.5,combined,109,3,34,0,"{0: 2, 1: 1, 2: 2, 3: 1}",0,0.9018181818181819,1.05,0.0,1.0
"[6, 16, 19, 22, 25, 31]",5.927898989898989,0.5,combined,119,3,25,0,"{0: 1, 1: 2, 2: 2, 3: 1}",2,0.8614141414141414,1.05,0.0,1.0
"[7, 8, 12, 23, 24, 31]",6.10410101010101,0.5,combined,105,3,24,0,"{0: 2, 1: 1, 2: 2, 3: 1}",3,0.8852525252525252,1.1,0.0,1.0
"[2, 3, 9, 33, 34, 40]",4.190666666666667,0.5,combined,121,3,38,0,"{0: 3, 3: 3}",2,0.8933333333333333,1.1,0.0,1.0
"[1, 7, 8, 16, 22, 27]",4.858242424242425,0.5,combined,81,3,26,0,"{0: 3, 1: 1, 2: 2}",1,0.853939393939394,0.9,0.0,1.0
"[3, 7, 8, 11, 17, 24]",3.7024040404040406,0.5,combined,70,2,21,0,"{0: 3, 1: 2, 2: 1}",4,0.881010101010101,0.85,0.0,1.0
