Draw,Motivo,SVI,Timestamp
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.757275
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.757679
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.758008
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.758308
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.758623
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.758930
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.759231
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.759526
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.759840
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.760140
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.760445
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.760758
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.761053
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.761340
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.761620
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.761900
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.762180
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.762469
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.762750
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.763028
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.763324
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.763603
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.763887
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.764176
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.764460
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.764747
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.765064
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.765349
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.765639
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.765930
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.766214
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.766498
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.766786
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.767074
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.767357
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.767635
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.767914
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.768191
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.768486
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.768772
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.769054
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.769333
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.769611
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.769898
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.770178
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.770457
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.770735
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.771015
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.771293
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.771572
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.771853
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.772137
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.772419
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.772707
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.772987
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.773270
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.773548
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.773832
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.774111
"[1, 2, 3, 4, 5, 6]",Combinación inválida,0.0,2025-08-13 18:07:36.774390
