combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[19, 20, 22, 25, 33, 40]",3.7616666666666667,0.5,lstm,159,3,21,2,"{np.int64(1): 2, np.int64(2): 2, np.int64(3): 2}",1,0.6125,0.9,0.0,1.0
"[6, 20, 21, 23, 31, 40]",5.798333333333333,0.5,lstm,141,3,34,2,"{np.int64(0): 1, np.int64(1): 1, np.int64(2): 2, np.int64(3): 2}",2,0.5375000000000001,1.1,0.0,1.0
"[20, 21, 23, 29, 33, 40]",2.9833333333333334,0.5,lstm,166,2,20,3,"{np.int64(1): 1, np.int64(2): 3, np.int64(3): 2}",2,0.5,0.9500000000000001,0.0,1.0
"[14, 21, 22, 23, 24, 40]",4.17,0.5,lstm,144,4,26,3,"{np.int64(1): 1, np.int64(2): 4, np.int64(3): 1}",1,0.6333333333333333,1.1,0.0,1.0
"[15, 20, 21, 23, 36, 40]",4.981666666666667,0.5,lstm,155,3,25,2,"{np.int64(1): 2, np.int64(2): 2, np.int64(3): 2}",1,0.5375000000000001,0.9,0.0,1.0
"[1, 17, 19, 20, 23, 40]",4.970952380952381,0.5,lstm,120,2,39,2,"{np.int64(0): 1, np.int64(1): 3, np.int64(2): 1, np.int64(3): 1}",3,0.5523809523809524,1.05,0.0,1.0
"[20, 23, 25, 32, 33, 40]",3.7399999999999998,0.5,lstm,173,3,20,2,"{np.int64(1): 1, np.int64(2): 2, np.int64(3): 3}",1,0.5583333333333333,0.9500000000000001,0.0,1.0
"[1, 19, 20, 21, 23, 40]",4.772619047619047,0.5,lstm,124,2,39,2,"{np.int64(0): 1, np.int64(1): 2, np.int64(2): 2, np.int64(3): 1}",2,0.4732142857142858,1.05,0.0,1.0
