combination,score,svi_score,source,sum_total,even_count,diff_sum,repeats,decades,primes,diversity,filter_reasons,core_bonus,arima_score
"[11, 12, 20, 32, 34, 39]",9.426787878787879,0.5,transformer_fallback,148,4,28,0,"{1: 3, 3: 3}",1,0.7418181818181818,1.1,0.0,2.0
"[2, 4, 21, 22, 23, 36]",12.277575757575757,0.5,transformer_fallback,108,4,34,0,"{0: 2, 2: 3, 3: 1}",2,0.7636363636363637,1.1,0.0,2.0
"[9, 11, 19, 22, 24, 39]",11.713575757575757,0.5,transformer_fallback,124,2,30,0,"{0: 1, 1: 2, 2: 2, 3: 1}",2,0.6836363636363636,1.05,0.0,2.0
"[3, 11, 17, 33, 37, 38]",11.596363636363636,0.5,transformer_fallback,139,1,35,0,"{0: 1, 1: 2, 3: 3}",4,0.7454545454545455,0.95,0.0,2.0
"[4, 9, 17, 18, 19, 35]",11.745575757575757,0.5,transformer_fallback,102,2,31,0,"{0: 2, 1: 3, 3: 1}",2,0.7236363636363636,1.05,0.0,2.0
